Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
410	-4084.545	-4082.291	-2.253762	0.4028851	0.147122	0.560744	0.454645	0.471169	0.220649	0.209949	0.0793552	0.263975	0.0703417	0.123066	0.0518213	0.171956	0.136492	0.107238	0.248927	0.0740471	0.0285969	0.472163	0.0690287	0.331681	0.305683	0.136143	0.226492	0.0171328	0.183908	0.734384	3.06458	2.961285
420	-4086.5	-4086.781	0.2815295	0.3974774	0.153555	0.496782	0.472251	0.336013	0.193442	0.28249	0.126071	0.294695	0.0436584	0.108206	0.00747629	0.0760717	0.117044	0.108612	0.248169	0.121492	0.0256506	0.454609	0.0414671	0.305888	0.312632	0.139354	0.242126	0.0163522	0.179869	0.728536	3.07524	2.707756
430	-4080.399	-4082.548	2.148591	0.3398652	0.176628	0.395426	0.49831	0.352459	0.13919	0.198499	0.158357	0.171371	0.0664566	0.101818	0.0373341	0.077358	0.147842	0.0960371	0.197402	0.0900284	0.0680967	0.491401	0.0570356	0.322089	0.289021	0.138764	0.250125	0.00907856	0.135657	0.657062	3.1982	2.52105
440	-4086.557	-4082.016	-4.540826	0.3519928	0.148241	0.674126	0.622265	0.431562	0.177969	0.155122	0.180907	0.253354	0.0882444	0.0745789	0.0703892	0.0194657	0.293768	0.121935	0.209068	0.07391	0.0173428	0.520442	0.0573027	0.32572	0.29824	0.148079	0.227962	0.0104409	0.145104	0.673632	3.17082	3.189991
450	-4083.116	-4079.205	-3.91055	0.3111061	0.123485	0.61842	0.602322	0.521075	0.168156	0.208975	0.137983	0.208519	0.145036	0.129975	0.0326176	0.0514519	0.178948	0.0919143	0.196053	0.111455	0.0202254	0.519002	0.0613506	0.325638	0.297937	0.136837	0.239588	0.00623938	0.113158	0.613991	3.26661	3.126964
460	-4083.048	-4083.002	-0.04638083	0.3752182	0.127701	0.503225	0.492683	0.389092	0.226298	0.150805	0.126687	0.253559	0.038928	0.0458539	0.0944655	0.112301	0.178948	0.107176	0.222172	0.0921861	0.0482863	0.520913	0.00926618	0.344577	0.284807	0.125445	0.245171	0.0133076	0.163016	0.703008	3.12067	2.740547
470	-4076.626	-4075.944	-0.6817983	0.3756388	0.174134	0.531545	0.478829	0.410981	0.265045	0.191123	0.139056	0.243199	0.062605	0.0704383	0.0187549	0.0819914	0.136386	0.110794	0.236745	0.0937132	0.0494202	0.476372	0.0329555	0.319575	0.309628	0.12518	0.245617	0.0133625	0.163337	0.703513	3.11979	2.804089
480	-4081.351	-4079.297	-2.054878	0.3550427	0.170831	0.530584	0.479561	0.345727	0.269365	0.305089	0.150427	0.24822	0.0632805	0.109125	0.0245522	0.0917831	0.152852	0.115111	0.248581	0.107414	0.0411297	0.465747	0.0220186	0.309666	0.302063	0.134765	0.253506	0.0107983	0.147471	0.677661	3.16407	2.941397
490	-4081.394	-4086.073	4.67922	0.4268581	0.0945868	0.380425	0.363711	0.344162	0.2227	0.132768	0.156045	0.213066	0.058196	0.0219594	0.0353628	0.0893347	0.155669	0.132169	0.239082	0.102018	0.0515486	0.441919	0.0332625	0.30721	0.297498	0.146927	0.248366	0.0207721	0.201519	0.758782	3.01893	2.267987
500	-4082.832	-4083.624	0.7914782	0.3701143	0.130209	0.472205	0.452207	0.396379	0.226549	0.165517	0.118927	0.218875	0.103351	0.0569473	0.0467729	0.134504	0.134319	0.100797	0.259876	0.0938059	0.0236814	0.474118	0.0477208	0.317308	0.310759	0.119557	0.252376	0.0126495	0.159104	0.696804	3.13144	2.656761
510	-4083.139	-4083.394	0.2549656	0.3470803	0.145698	0.429897	0.418135	0.346248	0.162191	0.269833	0.139385	0.293651	0.149581	0.11507	0.0326068	0.0810612	0.127055	0.0689922	0.25394	0.11141	0.0241147	0.457293	0.0842504	0.344306	0.300013	0.126934	0.228747	0.00987759	0.141283	0.667027	3.18181	2.710412
520	-4083.029	-4083.633	0.6034705	0.3036465	0.194352	0.335907	0.475109	0.396554	0.192832	0.214294	0.141731	0.191391	0.0924641	0.119489	0.00990118	0.175137	0.1364	0.104545	0.23531	0.0832758	0.0161761	0.497488	0.0632049	0.324122	0.296993	0.127358	0.251527	0.00559577	0.107335	0.601876	3.28519	2.675562
530	-4086.495	-4087.053	0.5579885	0.3769351	0.151297	0.425909	0.467378	0.36996	0.247158	0.167959	0.187994	0.213614	0.0402177	0.128292	0.0410042	0.0605904	0.178737	0.156952	0.335493	0.0621274	0.0157769	0.392916	0.0367351	0.310565	0.294005	0.12115	0.27428	0.0135324	0.164328	0.705065	3.11708	2.68011
540	-4091.837	-4091.72	-0.1173236	0.3177744	0.145062	0.686476	0.390071	0.293764	0.166007	0.148457	0.212964	0.288603	0.0721489	0.0796119	0.0172127	0.134282	0.112981	0.113948	0.312987	0.0827353	0.0235144	0.396851	0.0699642	0.331364	0.306352	0.105878	0.256407	0.00684746	0.118374	0.62448	3.2503	2.747641
550	-4079.101	-4081.492	2.39145	0.3625897	0.145062	0.428517	0.435131	0.367958	0.160189	0.191699	0.106263	0.128226	0.0479952	0.159399	0.0792502	0.134282	0.112793	0.124348	0.275446	0.0964493	0.0474675	0.411594	0.0446957	0.317333	0.304149	0.13225	0.246269	0.0117079	0.153311	0.687404	3.14758	2.496764
560	-4079.269	-4078.706	-0.5636995	0.3718987	0.130072	0.503796	0.435131	0.400195	0.28775	0.214826	0.143758	0.216587	0.0343307	0.128018	0.0877001	0.102434	0.10768	0.0906023	0.270637	0.0667243	0.0756808	0.466623	0.0297318	0.338186	0.298225	0.119303	0.244287	0.0128778	0.160474	0.698989	3.12766	2.792279
570	-4086.555	-4084.518	-2.037027	0.3254883	0.159191	0.486996	0.476243	0.466067	0.243194	0.235963	0.183535	0.284777	0.0102542	0.0510086	0.132519	0.0637605	0.146103	0.0815347	0.232511	0.0943768	0.0780461	0.481316	0.0322159	0.368772	0.278226	0.130773	0.222229	0.00758904	0.124413	0.636226	3.23177	2.939611
580	-4081.411	-4079.878	-1.532912	0.3261433	0.160557	0.486996	0.476243	0.442663	0.30891	0.192588	0.167741	0.155825	0.0408623	0.112454	0.0492532	0.0887169	0.206391	0.0657613	0.311801	0.0937155	0.0510785	0.439617	0.0380268	0.339886	0.302696	0.117258	0.24016	0.00765389	0.124926	0.637204	3.23022	2.8892
