Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
370	-4080.551	-4083.283	2.731191	0.3440192	0.139512	0.436353	0.473598	0.399663	0.14273	0.174304	0.150861	0.160731	0.0538444	0.113411	0.127501	0.0233845	0.0668972	0.330092	0.299191	0.148005	0.222712	0.103016	0.177151	0.0879686	0.0442436	0.524045	0.0635748	0.00953446	0.138898	0.662838	3.18873	2.46279
380	-4083.217	-4083.608	0.3911718	0.3917243	0.145239	0.458764	0.487105	0.379715	0.174581	0.220306	0.114384	0.267572	0.0930857	0.101808	0.183784	0.0220329	0.0484153	0.329682	0.296806	0.146825	0.226687	0.110959	0.157784	0.0875145	0.0440153	0.52134	0.0783868	0.0155388	0.175547	0.722168	3.08675	2.696792
390	-4085.681	-4080.442	-5.238741	0.332492	0.102186	0.627914	0.57703	0.523132	0.237352	0.207361	0.173477	0.21982	0.0708311	0.108663	0.183236	0.0623153	0.166467	0.319949	0.310495	0.139136	0.23042	0.103358	0.23029	0.0815199	0.0261847	0.485629	0.0730174	0.00829739	0.129894	0.646543	3.21526	3.259783
400	-4087.675	-4083.826	-3.849091	0.3447457	0.217446	0.525019	0.482187	0.471089	0.198143	0.269822	0.155262	0.271633	0.0226277	0.108663	0.186423	0.0442621	0.168241	0.3263	0.316658	0.12864	0.228402	0.127333	0.266951	0.0872042	0.0280105	0.440766	0.0497359	0.00961535	0.139465	0.663837	3.18708	3.120818
410	-4084.495	-4084.577	0.08202367	0.3915467	0.16894	0.470225	0.493744	0.341869	0.30773	0.145129	0.145659	0.317424	0.0539358	0.0503536	0.122511	0.0145904	0.0955958	0.328643	0.290779	0.121107	0.259472	0.109255	0.274775	0.0814248	0.0135975	0.453684	0.067263	0.015514	0.175414	0.721969	3.0871	2.727706
420	-4079.569	-4082.08	2.510968	0.3579694	0.151561	0.363665	0.369937	0.366697	0.159582	0.171863	0.129579	0.205722	0.0724011	0.137842	0.159236	0.0686962	0.12803	0.335377	0.296737	0.123588	0.244298	0.10569	0.255747	0.083287	0.0146953	0.472183	0.0683984	0.0111468	0.149739	0.681478	3.15764	2.484812
430	-4084.766	-4082.965	-1.800395	0.3786225	0.206181	0.444142	0.56401	0.406865	0.171659	0.270829	0.130723	0.255967	0.027441	0.0333642	0.22157	0.0968627	0.086333	0.335377	0.296737	0.123588	0.244298	0.0978343	0.263333	0.0905125	0.013603	0.437088	0.0976293	0.013755	0.165615	0.707071	3.11356	2.915948
440	-4084.087	-4083.031	-1.056387	0.3727826	0.151586	0.464368	0.554675	0.333406	0.235902	0.14721	0.158787	0.262917	0.0229934	0.0985528	0.251182	0.104598	0.0553692	0.343445	0.278854	0.126885	0.250816	0.0917515	0.246961	0.084885	0.0127573	0.512733	0.050912	0.0129916	0.161151	0.700064	3.12579	2.841547
450	-4084.462	-4089.075	4.613819	0.3305077	0.121915	0.369296	0.382847	0.276589	0.186434	0.167561	0.137317	0.204899	0.010782	0.0421765	0.15391	0.101064	0.119736	0.364588	0.272075	0.142383	0.220954	0.0929531	0.250195	0.116212	0.0129244	0.476137	0.0515787	0.00809334	0.128342	0.643653	3.21991	2.274527
460	-4085.067	-4087.372	2.305635	0.3809061	0.176829	0.297041	0.510462	0.346431	0.180802	0.185106	0.139806	0.251688	0.000282826	0.0996051	0.187432	0.0702591	0.0596007	0.360181	0.283844	0.140661	0.215314	0.0842188	0.226686	0.129762	0.0244713	0.492177	0.0426852	0.0140589	0.167355	0.709763	3.10882	2.505345
470	-4082.72	-4083.851	1.130835	0.3461346	0.140933	0.449951	0.552279	0.330981	0.195936	0.238798	0.135647	0.204083	4.58802e-05	0.117705	0.121041	0.0907923	0.044633	0.360181	0.283844	0.140661	0.215314	0.083729	0.225367	0.129007	0.0243289	0.489314	0.0482533	0.00977093	0.140547	0.665739	3.18394	2.622825
480	-4085.016	-4081.945	-3.071121	0.3523262	0.168915	0.474089	0.559577	0.444464	0.269772	0.203135	0.165248	0.288518	5.39068e-05	0.104076	0.129156	0.109026	0.126992	0.304092	0.319572	0.148707	0.227629	0.105272	0.229427	0.107149	0.0109031	0.498128	0.0491225	0.0104797	0.145363	0.674075	3.17008	3.043021
490	-4085.508	-4085.48	-0.02747664	0.4002339	0.206858	0.458653	0.430766	0.450151	0.238207	0.219154	0.18704	0.212775	0.00378545	0.0787785	0.123045	0.0528804	0.076564	0.331105	0.276185	0.170911	0.221799	0.119503	0.16651	0.121633	0.012377	0.542012	0.0379656	0.0167482	0.181931	0.731534	3.06979	2.738656
500	-4086.078	-4087.886	1.807534	0.3427813	0.161198	0.410371	0.435808	0.314073	0.258849	0.204206	0.132229	0.266682	0.0151168	0.0601901	0.10443	0.0923122	0.0996892	0.326074	0.287184	0.168314	0.218429	0.0901661	0.164246	0.161285	0.0122088	0.534644	0.0374495	0.00939742	0.137933	0.661128	3.19154	2.555155
510	-4081.55	-4081.971	0.4207715	0.3337283	0.157132	0.424483	0.47812	0.35916	0.236316	0.18675	0.135057	0.232667	0.0998114	0.102854	0.195549	0.0174676	0.0684635	0.326074	0.287184	0.168314	0.218429	0.0967458	0.176232	0.107299	0.0409383	0.538603	0.0401823	0.00842585	0.130862	0.648331	3.21238	2.693832
520	-4083.866	-4085.983	2.117484	0.3207963	0.169015	0.437173	0.489282	0.376378	0.15876	0.146968	0.141808	0.167034	0.081202	0.198354	0.0747334	0.0152424	0.068211	0.330148	0.268154	0.160489	0.24121	0.096521	0.175822	0.107049	0.0408432	0.555467	0.0242973	0.00713312	0.12074	0.62913	3.243	2.52416
530	-4082.888	-4085.144	2.255976	0.3841348	0.114141	0.39284	0.436335	0.415601	0.145786	0.168014	0.182092	0.120954	0.076113	0.188821	0.149094	0.0313199	0.0891989	0.346175	0.284962	0.14737	0.221492	0.0948871	0.172846	0.105237	0.0570797	0.546064	0.023886	0.0144937	0.169809	0.713526	3.10217	2.510311
540	-4079.803	-4080.01	0.2068214	0.4004929	0.14227	0.388169	0.502495	0.407825	0.20246	0.250852	0.149989	0.185714	0.0567396	0.149828	0.189251	0.0208208	0.068813	0.34509	0.287204	0.146908	0.220798	0.0974599	0.177533	0.108091	0.0384711	0.56087	0.0175751	0.0167856	0.182124	0.731813	3.06928	2.715227
550	-4087.908	-4087.342	-0.5665158	0.4619513	0.14227	0.572044	0.448742	0.269153	0.189903	0.231753	0.118942	0.278326	0.130287	0.0854569	0.131248	0.0655873	0.128848	0.338645	0.28184	0.137273	0.242243	0.104025	0.189492	0.106268	0.0410627	0.539021	0.0201311	0.0265714	0.226353	0.790479	2.9566	2.79256
560	-4084.73	-4085.825	1.094097	0.3483696	0.205541	0.41814	0.370592	0.327074	0.271372	0.231753	0.111708	0.171443	0.0477072	0.111875	0.205037	0.0323295	0.121928	0.339378	0.281861	0.162429	0.216333	0.0841537	0.172864	0.100723	0.0524992	0.57851	0.0112491	0.0100239	0.142287	0.668774	3.17892	2.626499
570	-4088.908	-4089.435	0.5271643	0.3835387	0.138331	0.405556	0.470347	0.504398	0.324889	0.121021	0.0895852	0.151804	0.0477072	0.171361	0.101111	0.0515448	0.105537	0.341581	0.288497	0.152185	0.217737	0.0782504	0.160738	0.123391	0.0488164	0.580524	0.00828011	0.014413	0.169356	0.712835	3.1034	2.683192
580	-4086.634	-4085.741	-0.8932381	0.4048613	0.19704	0.461842	0.44403	0.434768	0.211033	0.229314	0.135296	0.198689	0.102821	0.0924731	0.222636	0.0513078	0.0439838	0.365483	0.276554	0.147294	0.210669	0.0819352	0.201044	0.122705	0.0609067	0.524739	0.00867003	0.0174219	0.185378	0.736488	3.06071	2.825233
590	-4085.045	-4089.455	4.410171	0.3629964	0.154309	0.429304	0.437315	0.243333	0.16917	0.144606	0.13613	0.174184	0.108752	0.0805017	0.111174	0.051863	0.0542494	0.35667	0.290341	0.147399	0.20559	0.0819352	0.201044	0.122705	0.0609067	0.524739	0.00867003	0.0117579	0.153625	0.68792	3.1467	2.294892
600	-4085.736	-4085.831	0.09451022	0.3855376	0.146847	0.461541	0.499326	0.35968	0.143796	0.189005	0.179023	0.184279	0.169774	0.0805017	0.172833	0.0325257	0.107326	0.366682	0.290905	0.123149	0.219265	0.106482	0.240877	0.115123	0.0398103	0.440237	0.0574702	0.0146845	0.170872	0.715144	3.0993	2.726458
610	-4084.644	-4086.656	2.01123	0.3973361	0.144883	0.476439	0.406964	0.286159	0.260744	0.219626	0.0934658	0.186559	0.16247	0.0574917	0.134215	0.0655397	0.0402292	0.354797	0.289759	0.143286	0.212158	0.106171	0.240336	0.114786	0.0396937	0.438948	0.0600662	0.016332	0.179763	0.728382	3.07552	2.534786
620	-4088.685	-4088.074	-0.6107199	0.4479771	0.172457	0.351387	0.386611	0.37486	0.275114	0.187052	0.153984	0.25912	0.148112	0.249119	0.155096	0.0497322	0.0343366	0.325442	0.304698	0.141121	0.228739	0.0798285	0.228679	0.109218	0.0332608	0.491861	0.0571528	0.0242002	0.216604	0.778386	2.98081	2.796981
630	-4084.683	-4085.997	1.314326	0.4809946	0.165972	0.321479	0.547414	0.3458	0.243987	0.194231	0.152481	0.179241	0.0666522	0.107028	0.180551	0.0458799	0.0537597	0.344136	0.300297	0.130133	0.225435	0.0860964	0.221402	0.117794	0.0358724	0.477196	0.0616402	0.0299216	0.239328	0.805931	2.92482	2.604476
640	-4080.28	-4079.201	-1.079113	0.3632449	0.152136	0.436165	0.520588	0.459787	0.234912	0.194231	0.1425	0.268714	0.103666	0.0492721	0.179819	0.0226376	0.0793927	0.319164	0.311866	0.13485	0.23412	0.0870948	0.223969	0.11916	0.0520007	0.499797	0.0179787	0.0117885	0.153817	0.688235	3.14616	2.84382
650	-4082.503	-4078.401	-4.101742	0.3522026	0.183659	0.556195	0.479522	0.403653	0.328487	0.202516	0.152464	0.270618	0.23291	0.0933508	0.206909	0.00582803	0.0299692	0.324394	0.311068	0.131018	0.233521	0.0905515	0.232858	0.0792537	0.0540645	0.519633	0.0236396	0.0104653	0.145267	0.673911	3.17036	3.146083
660	-4078.666	-4078.616	-0.04971434	0.299312	0.165171	0.496172	0.462607	0.361491	0.216396	0.173553	0.171379	0.214573	0.13312	0.0703767	0.171744	0.0623095	0.0419889	0.351073	0.270221	0.137057	0.241649	0.0913689	0.221599	0.0843031	0.0545526	0.524324	0.023853	0.00523967	0.10396	0.594646	3.29615	2.74088
670	-4083.993	-4084.223	0.2306764	0.3238478	0.135461	0.396868	0.465252	0.337226	0.310928	0.14202	0.152924	0.272846	0.0958935	0.14128	0.115267	0.0919167	0.0549593	0.348328	0.273266	0.133738	0.244668	0.111818	0.241151	0.0778093	0.0618764	0.483936	0.02341	0.00742793	0.123129	0.633762	3.23568	2.712841
680	-4079.323	-4081.471	2.147067	0.3361337	0.135461	0.444374	0.364213	0.372642	0.171656	0.207801	0.155362	0.241477	0.0763485	0.168347	0.0927727	0.0223471	0.0684011	0.341952	0.283802	0.132268	0.241978	0.108104	0.228337	0.0834913	0.054582	0.467865	0.0576207	0.00867871	0.132742	0.651782	3.2068	2.521202
