Iteration	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
540	-4274.461	-4289.332	14.87111	0.132886	0.224747	0.206395	0.181125	0.152251	0.108628	0.0973885	0.156614	0.0010446	0.0633532	0.0655987	0.0332617	0.0557641	0.212742	0.255158	0.107069	0.0396193	0.345274	0.0401376	0.288975	0.249092	0.170094	0.291839	1.479056
550	-4283.767	-4298.393	14.62546	0.113458	0.181019	0.203488	0.226726	0.118226	0.159526	0.123101	0.102417	0.00755377	0.0778617	0.0816361	0.0366187	0.0719903	0.189221	0.231817	0.14791	0.0881952	0.318595	0.0242614	0.277629	0.287937	0.18063	0.253805	1.503622
560	-4272.761	-4287.767	15.00648	0.114883	0.172871	0.201282	0.235682	0.147798	0.146006	0.0922654	0.12681	0.0162902	0.031418	0.0662243	0.0419819	0.0720061	0.167735	0.265329	0.163423	0.0688302	0.30389	0.0307922	0.28002	0.294093	0.156484	0.269403	1.465519
570	-4276.481	-4291.195	14.71358	0.107002	0.19099	0.262344	0.1687	0.147546	0.116077	0.117137	0.129214	0.0117873	0.0424778	0.0861254	0.0434016	0.0720061	0.230958	0.240142	0.150124	0.0350424	0.299795	0.0439385	0.284882	0.279152	0.170736	0.265229	1.494809
580	-4269.042	-4283.885	14.84262	0.113115	0.197734	0.234119	0.218688	0.135444	0.116777	0.100129	0.115583	0.0470316	0.0386268	0.0786336	0.0329228	0.0531013	0.19769	0.268129	0.144228	0.0557867	0.30659	0.0275762	0.246467	0.28907	0.16748	0.296982	1.481905
590	-4275.434	-4289.359	13.92491	0.147424	0.226596	0.249798	0.189061	0.137538	0.116303	0.0873716	0.148259	0.0396831	0.0467811	0.0431156	0.0438124	0.0979334	0.202321	0.248383	0.112799	0.056816	0.328697	0.0509832	0.270158	0.279009	0.158707	0.292126	1.573676
600	-4274.746	-4289.293	14.5464	0.140572	0.176751	0.227622	0.192125	0.155656	0.12388	0.0914917	0.137443	0.0369996	0.0439038	0.0603603	0.0400153	0.0847076	0.184931	0.243329	0.144794	0.0341186	0.329658	0.0631693	0.274206	0.264282	0.188185	0.273327	1.511527
610	-4271.63	-4286.427	14.79694	0.0992167	0.176751	0.251096	0.216424	0.108872	0.132295	0.107116	0.16453	0.0279265	0.0439038	0.0726453	0.0436187	0.0420781	0.205313	0.261223	0.13505	0.0490931	0.31391	0.0354109	0.287012	0.277266	0.144601	0.291121	1.486474
620	-4269.34	-4284.64	15.30033	0.0893916	0.206353	0.214301	0.21931	0.157894	0.119575	0.0937698	0.119949	0.0292425	0.0320135	0.0665758	0.0334393	0.0543191	0.196006	0.257416	0.14648	0.0678234	0.302549	0.0297262	0.27538	0.276566	0.145577	0.302477	1.436134
630	-4270.982	-4286.87	15.88846	0.128338	0.168174	0.227107	0.214079	0.116188	0.103041	0.090065	0.122999	0.0351628	0.0247984	0.0479438	0.0452113	0.0542139	0.215646	0.229308	0.141249	0.0767594	0.320437	0.0166008	0.267497	0.256993	0.17286	0.30265	1.377321
640	-4273.017	-4288.07	15.05372	0.107185	0.210612	0.245415	0.208646	0.140973	0.106103	0.0981714	0.139258	0.0389754	0.023824	0.0273265	0.0568189	0.0574873	0.202539	0.264366	0.13735	0.044175	0.320234	0.0313352	0.280013	0.251111	0.163502	0.305374	1.460795
650	-4275.433	-4290.177	14.74411	0.0880007	0.190221	0.24739	0.220267	0.150705	0.145905	0.0849643	0.0978622	0.0506968	0.0271338	0.057991	0.0554714	0.0751481	0.221609	0.249266	0.137105	0.0596773	0.30151	0.0308332	0.295695	0.26664	0.157771	0.279894	1.491756
660	-4273.367	-4289.429	16.06249	0.0878027	0.187078	0.20448	0.183513	0.163621	0.0950562	0.0957704	0.124133	0.0217232	0.0246737	0.0781228	0.0395611	0.0543824	0.192434	0.283761	0.109875	0.0592618	0.31881	0.0358573	0.281633	0.285589	0.153628	0.27915	1.359918
670	-4271.34	-4286.248	14.90788	0.133645	0.180375	0.211601	0.211352	0.125456	0.117118	0.114192	0.145781	0.023523	0.0203893	0.0648938	0.0576486	0.0694044	0.22078	0.241116	0.136309	0.0258882	0.3391	0.0368067	0.257861	0.281697	0.178271	0.28217	1.475379
680	-4270.701	-4286.262	15.56088	0.112851	0.195438	0.259705	0.190849	0.130827	0.0962436	0.101652	0.124922	0.0280426	0.0236729	0.0477882	0.0389096	0.0591802	0.181965	0.275465	0.142031	0.0442667	0.298738	0.0575352	0.273637	0.301635	0.152278	0.27245	1.41008
690	-4284.71	-4300.532	15.82194	0.0914042	0.19905	0.167767	0.20018	0.0843188	0.138577	0.109307	0.142493	0.0430372	0.0364752	0.106537	0.0306425	0.0341834	0.185196	0.255074	0.145269	0.0477037	0.301987	0.0647694	0.279249	0.292678	0.17097	0.257103	1.383973
700	-4275.761	-4290.743	14.98256	0.12837	0.178502	0.245736	0.177366	0.146778	0.102122	0.108772	0.148105	0.0346091	0.0233159	0.0594318	0.0443428	0.0704612	0.18348	0.217952	0.15845	0.085355	0.324962	0.0298003	0.248454	0.280588	0.18241	0.288547	1.467911
710	-4273.859	-4289.501	15.64263	0.103935	0.192423	0.198539	0.206447	0.102841	0.115744	0.0921029	0.120688	0.0358276	0.0366285	0.0672317	0.0572896	0.0722062	0.216745	0.23333	0.116045	0.0537377	0.34833	0.031812	0.267208	0.25468	0.18404	0.294072	1.401904
720	-4270.718	-4285.641	14.92307	0.129416	0.172209	0.238052	0.210401	0.152142	0.126301	0.0902015	0.126514	0.0383142	0.0110101	0.0657967	0.0489833	0.0645183	0.225873	0.238271	0.130951	0.0427478	0.325281	0.036875	0.300276	0.272871	0.157487	0.269367	1.47386
730	-4279.629	-4295.542	15.91262	0.104183	0.201699	0.174301	0.162723	0.135269	0.111611	0.0986279	0.144881	0.0118503	0.0248506	0.0637988	0.0817797	0.0593324	0.218694	0.239713	0.129164	0.05247	0.28928	0.0706789	0.258232	0.257965	0.165789	0.318013	1.374905
740	-4272.047	-4287.71	15.66305	0.101844	0.138052	0.208892	0.210527	0.128073	0.104751	0.099511	0.125634	0.0448491	0.0193564	0.105868	0.0453547	0.0671492	0.198645	0.267212	0.108493	0.0495857	0.334972	0.041092	0.277244	0.267897	0.165849	0.289009	1.399862
750	-4272.108	-4287.403	15.29537	0.0914054	0.200547	0.225488	0.21172	0.137041	0.125166	0.0779214	0.125977	0.0798518	0.00754443	0.072692	0.017544	0.0637319	0.207225	0.242549	0.129817	0.0446628	0.329613	0.0461337	0.286076	0.274873	0.171306	0.267744	1.43663
760	-4270.082	-4285.391	15.3083	0.118688	0.201293	0.249866	0.165558	0.131009	0.102964	0.102733	0.141863	0.0343609	0.0198632	0.0727827	0.0203302	0.0740262	0.193002	0.240567	0.12842	0.0688834	0.325513	0.043614	0.273228	0.271429	0.158917	0.296426	1.435337
770	-4266.206	-4281.557	15.35097	0.09785	0.184844	0.195305	0.209494	0.130353	0.118758	0.0987203	0.141364	0.0441033	0.0505769	0.0729785	0.0220354	0.0646873	0.205271	0.25586	0.138173	0.046195	0.305892	0.0486087	0.270106	0.282011	0.166655	0.281228	1.43107
780	-4273.126	-4288.337	15.21079	0.0975552	0.169906	0.219442	0.178577	0.114306	0.172403	0.105414	0.138731	0.0546375	0.0428372	0.0773227	0.0145339	0.0594223	0.218276	0.250577	0.133511	0.0350556	0.32633	0.03625	0.277734	0.263919	0.163484	0.294862	1.445088
790	-4275.707	-4290.994	15.28624	0.105268	0.198707	0.22912	0.224901	0.0905261	0.0919051	0.0996105	0.118756	0.0626071	0.0596423	0.0612159	0.0389469	0.0563373	0.192304	0.311522	0.126057	0.0497022	0.2875	0.0329147	0.275536	0.261532	0.156648	0.306283	1.437543
800	-4274.044	-4289.8	15.75569	0.0883873	0.197234	0.212701	0.196262	0.137105	0.113926	0.082262	0.15059	0.0348484	0.0372931	0.0635615	0.0179922	0.0584357	0.196184	0.317562	0.142095	0.0237707	0.278178	0.0422096	0.252041	0.293244	0.169037	0.285679	1.390598
810	-4277.673	-4293.45	15.77721	0.0855637	0.174801	0.257856	0.199739	0.154525	0.0979964	0.0819147	0.144818	0.0407797	0.0312239	0.0580878	0.0132843	0.0478576	0.171431	0.317214	0.16306	0.0408724	0.281182	0.0262402	0.254409	0.296935	0.166578	0.282078	1.388446
820	-4274.769	-4289.129	14.35945	0.128644	0.23848	0.247154	0.225322	0.125951	0.102031	0.0798223	0.164596	0.039138	0.0345446	0.0568694	0.0367147	0.050956	0.172966	0.265987	0.149453	0.0752551	0.310952	0.0253867	0.263759	0.290351	0.152206	0.293684	1.530223
830	-4276.752	-4291.8	15.04728	0.0716778	0.241048	0.20767	0.195806	0.132514	0.149931	0.114238	0.138262	0.030514	0.0620383	0.0442932	0.0250565	0.0483895	0.181625	0.271584	0.134302	0.0464702	0.319285	0.0467342	0.273457	0.277297	0.149071	0.300175	1.461439
840	-4268.573	-4283.232	14.65904	0.112762	0.185746	0.234185	0.195806	0.159637	0.145507	0.0866736	0.14547	0.0339054	0.0450037	0.0730417	0.0298798	0.0526461	0.196472	0.258111	0.139794	0.0594304	0.300508	0.0456843	0.286285	0.272594	0.151847	0.289274	1.500264
