Iteration	Posterior	Likelihood	Prior	T
2800	-1291.355	-1288.359	-2.995732	9.488433
2810	-1292.065	-1289.069	-2.995732	13.31112
2820	-1291.655	-1288.659	-2.995732	11.86944
2830	-1292.121	-1289.126	-2.995732	13.47849
2840	-1293.549	-1290.553	-2.995732	16.80923
2850	-1291.709	-1288.713	-2.995732	12.09262
2860	-1291.357	-1288.361	-2.995732	9.313469
2870	-1291.513	-1288.518	-2.995732	11.17959
2880	-1291.46	-1288.464	-2.995732	10.84695
2890	-1292.001	-1289.006	-2.995732	6.583117
2900	-1292.118	-1289.122	-2.995732	6.366533
2910	-1291.586	-1288.59	-2.995732	11.55606
2920	-1292.366	-1289.371	-2.995732	14.15424
2930	-1291.355	-1288.359	-2.995732	9.488595
2940	-1291.362	-1288.366	-2.995732	9.136103
2950	-1291.494	-1288.498	-2.995732	8.045794
2960	-1291.451	-1288.455	-2.995732	8.278087
2970	-1291.681	-1288.685	-2.995732	7.349519
2980	-1291.362	-1288.366	-2.995732	9.152504
2990	-1291.404	-1288.408	-2.995732	8.611175
3000	-1291.579	-1288.584	-2.995732	11.52608
3010	-1292.069	-1289.073	-2.995732	13.32246
3020	-1291.372	-1288.376	-2.995732	10.01523
3030	-1291.463	-1288.467	-2.995732	10.87007
3040	-1291.394	-1288.398	-2.995732	10.29307
3050	-1291.579	-1288.583	-2.995732	11.52343
3060	-1292.036	-1289.041	-2.995732	13.22448
3070	-1291.435	-1288.44	-2.995732	10.67082
3080	-1293.1	-1290.104	-2.995732	15.88193
3090	-1291.388	-1288.392	-2.995732	8.760657
3100	-1291.359	-1288.363	-2.995732	9.224875
3110	-1291.37	-1288.374	-2.995732	8.988941
3120	-1291.616	-1288.62	-2.995732	11.69693
3130	-1291.485	-1288.489	-2.995732	8.089666
3140	-1291.542	-1288.546	-2.995732	7.83045
3150	-1291.377	-1288.381	-2.995732	10.09116
3160	-1291.382	-1288.386	-2.995732	10.15244
3170	-1291.367	-1288.371	-2.995732	9.037836
3180	-1292.203	-1289.207	-2.995732	6.220596
3190	-1291.755	-1288.76	-2.995732	12.27494
3200	-1291.452	-1288.456	-2.995732	8.272239
3210	-1292.054	-1289.058	-2.995732	6.482939
3220	-1291.359	-1288.363	-2.995732	9.734181
3230	-1291.963	-1288.967	-2.995732	12.99501
3240	-1291.363	-1288.367	-2.995732	9.836116
3250	-1291.539	-1288.544	-2.995732	7.842159
3260	-1291.429	-1288.433	-2.995732	10.61932
3270	-1291.414	-1288.418	-2.995732	10.49464
3280	-1292.631	-1289.635	-2.995732	14.81776
3290	-1291.425	-1288.429	-2.995732	8.443987
3300	-1291.377	-1288.382	-2.995732	10.09455
3310	-1292.605	-1289.609	-2.995732	14.75408
3320	-1291.374	-1288.379	-2.995732	10.05148
3330	-1294.27	-1291.274	-2.995732	4.134707
3340	-1291.557	-1288.562	-2.995732	7.769522
3350	-1292.177	-1289.181	-2.995732	6.264124
3360	-1293.127	-1290.131	-2.995732	15.93977
3370	-1292.851	-1289.855	-2.995732	15.33165
3380	-1292.388	-1289.392	-2.995732	5.935126
3390	-1291.36	-1288.364	-2.995732	9.757772
3400	-1291.403	-1288.407	-2.995732	10.39293
3410	-1291.551	-1288.555	-2.995732	11.38372
3420	-1295.599	-1292.604	-2.995732	3.384378
3430	-1293.299	-1290.303	-2.995732	4.894043
3440	-1293.113	-1290.117	-2.995732	15.90926
3450	-1291.878	-1288.883	-2.995732	12.71568
3460	-1291.534	-1288.538	-2.995732	7.864836
3470	-1291.66	-1288.664	-2.995732	11.89034
3480	-1294.597	-1291.601	-2.995732	18.75918
3490	-1291.907	-1288.911	-2.995732	6.777875
3500	-1291.63	-1288.634	-2.995732	7.50838
3510	-1292.404	-1289.408	-2.995732	5.91195
3520	-1292.425	-1289.429	-2.995732	5.882634
3530	-1291.49	-1288.495	-2.995732	8.063832
3540	-1291.477	-1288.481	-2.995732	10.96295
3550	-1291.355	-1288.36	-2.995732	9.398936
3560	-1291.355	-1288.359	-2.995732	9.438846
3570	-1293.392	-1290.396	-2.995732	16.49231
3580	-1291.424	-1288.428	-2.995732	8.453959
3590	-1291.405	-1288.41	-2.995732	10.41411
3600	-1292.143	-1289.147	-2.995732	13.5409
3610	-1291.37	-1288.374	-2.995732	9.97605
3620	-1291.355	-1288.359	-2.995732	9.471027
3630	-1291.392	-1288.396	-2.995732	10.27437
3640	-1292.298	-1289.302	-2.995732	6.069766
3650	-1291.962	-1288.967	-2.995732	12.99264
3660	-1291.609	-1288.613	-2.995732	11.66604
3670	-1291.373	-1288.378	-2.995732	10.0348
3680	-1291.423	-1288.427	-2.995732	8.457583
