Iteration	Replicate_ID	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
51	0	-4272.944	-4288.736	15.79199	0.11655	0.180796	0.225083	0.214841	0.0845855	0.0944609	0.0860743	0.122926	0.0686827	0.0454819	0.0436421	0.0497559	0.0540891	0.189791	0.249527	0.13795	0.0702726	0.325746	0.0267138	0.2797	0.254153	0.17975	0.286396	1.386969
52	0	-4274.161	-4289.925	15.7644	0.0940915	0.168146	0.186163	0.199016	0.132949	0.131704	0.102362	0.119712	0.0785487	0.0296366	0.0272625	0.0802817	0.0398537	0.201011	0.251727	0.142505	0.0533326	0.3365	0.0149241	0.291996	0.270062	0.154133	0.28381	1.389727
53	0	-4273.021	-4288.227	15.20624	0.0933245	0.197138	0.228992	0.238819	0.146237	0.100102	0.0805348	0.140779	0.0469909	0.0340307	0.047279	0.0617107	0.0296063	0.202944	0.252631	0.149449	0.046614	0.328815	0.0195468	0.268831	0.284146	0.180472	0.266551	1.445544
54	0	-4271.401	-4286.567	15.16568	0.105302	0.225711	0.227848	0.186722	0.133745	0.10474	0.0914026	0.156705	0.0383736	0.0175937	0.0497134	0.0406771	0.0710669	0.199087	0.258237	0.139956	0.042793	0.302388	0.0575383	0.255402	0.282725	0.170474	0.291398	1.449599
55	0	-4272.376	-4288.566	16.19074	0.118818	0.183352	0.186749	0.186722	0.126151	0.102142	0.0807428	0.106725	0.0727895	0.0395921	0.0364415	0.0475146	0.059354	0.203124	0.285219	0.127399	0.059254	0.2696	0.0554036	0.260376	0.287553	0.164954	0.287117	1.347093
56	0	-4270.693	-4284.811	14.11763	0.104333	0.17519	0.283289	0.215542	0.156621	0.119965	0.10735	0.141719	0.0608112	0.0212197	0.0272254	0.0609496	0.0801893	0.189354	0.226786	0.12961	0.0599679	0.361248	0.0330337	0.278724	0.266935	0.177741	0.2766	1.554404
57	0	-4274.777	-4291.009	16.23122	0.106852	0.158746	0.228545	0.188636	0.159786	0.0983241	0.0619981	0.114741	0.0634358	0.0317978	0.0533504	0.0404052	0.0364267	0.225776	0.230614	0.131798	0.0589005	0.311223	0.041689	0.27071	0.268631	0.173008	0.28765	1.343045
58	0	-4272.682	-4288.466	15.78402	0.0889423	0.153945	0.248909	0.186266	0.121397	0.11866	0.0805492	0.138679	0.0524936	0.0402009	0.0478297	0.0424723	0.0674209	0.211944	0.229758	0.151676	0.0582179	0.323655	0.0247488	0.296571	0.271507	0.168708	0.263214	1.387765
59	0	-4275.363	-4290.521	15.15742	0.118928	0.191971	0.244191	0.179348	0.141562	0.103078	0.112597	0.175925	0.0590724	0.0213149	0.0152246	0.0318669	0.0553471	0.208644	0.240637	0.127331	0.08183	0.316902	0.0246553	0.25512	0.266432	0.187035	0.291414	1.450426
60	0	-4274.733	-4290.003	15.27027	0.117531	0.179003	0.242153	0.244918	0.126957	0.120853	0.100395	0.103536	0.0576781	0.0367302	0.00742861	0.0412828	0.0606754	0.217152	0.245021	0.14412	0.0297008	0.322676	0.041331	0.282001	0.274766	0.160991	0.282242	1.439141
