Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
480	-4082.931	-4083.401	0.4693579	0.4109316	0.196289	0.509431	0.403278	0.400458	0.228443	0.188501	0.125289	0.16349	0.103029	0.138122	0.192323	0.0198427	0.0204794	0.320111	0.285272	0.150783	0.243833	0.102328	0.253597	0.108314	0.0530714	0.443937	0.0387521	0.0183226	0.189874	0.742844	3.04896	2.688973
490	-4079.465	-4082.664	3.198891	0.3726406	0.118719	0.499678	0.403278	0.339122	0.18621	0.188501	0.145551	0.157692	0.0669054	0.0260331	0.190946	0.0119103	0.0814743	0.338982	0.279202	0.145892	0.235924	0.102494	0.253351	0.108914	0.0530199	0.443506	0.0387145	0.0129733	0.161042	0.699892	3.12609	2.41602
500	-4081.929	-4085.442	3.513363	0.3504879	0.148344	0.482307	0.364267	0.242268	0.247729	0.176942	0.16405	0.202103	0.104215	0.0959796	0.109266	0.0233476	0.0237546	0.338333	0.279098	0.146734	0.235836	0.116274	0.183394	0.0722983	0.0634779	0.520635	0.0439197	0.0102667	0.143935	0.671623	3.17418	2.384572
510	-4076.474	-4079.374	2.900645	0.3365008	0.138536	0.346952	0.502734	0.341569	0.214057	0.155928	0.109294	0.201381	0.109283	0.0959796	0.139581	0.0480085	0.0425405	0.342075	0.282185	0.137295	0.238445	0.114036	0.209887	0.0715049	0.0409062	0.514922	0.0487433	0.00871764	0.133029	0.652305	3.20595	2.445844
520	-4084.583	-4085.34	0.7568082	0.3727103	0.155424	0.391095	0.494965	0.379194	0.309298	0.262817	0.145265	0.126192	0.0501731	0.192293	0.0831507	0.0413525	0.0290103	0.33028	0.286322	0.139307	0.244091	0.0884199	0.217891	0.101382	0.042466	0.49924	0.0506021	0.0129823	0.161096	0.699977	3.12595	2.660228
530	-4081.108	-4082.996	1.887412	0.3158579	0.107838	0.572058	0.368826	0.343943	0.240248	0.1674	0.146462	0.174656	0.094596	0.0547158	0.201795	0.0390761	0.0355543	0.344174	0.287353	0.135149	0.233324	0.0942954	0.232369	0.0820224	0.0337538	0.531178	0.0263811	0.00666955	0.116874	0.621498	3.25496	2.547168
540	-4082.306	-4081.422	-0.8842062	0.3610381	0.110808	0.461311	0.471727	0.482097	0.206303	0.215081	0.164029	0.242861	0.0670423	0.135245	0.207986	0.0223209	0.0375198	0.337961	0.280908	0.152019	0.229112	0.100907	0.244664	0.0877731	0.0384456	0.49998	0.0282307	0.011518	0.152113	0.685427	3.15094	2.824329
550	-4085.847	-4084.026	-1.82065	0.3686826	0.181555	0.424833	0.576519	0.3521	0.189822	0.21978	0.148843	0.278346	0.149737	0.0773585	0.144717	0.0895486	0.0848167	0.346753	0.28113	0.148424	0.223693	0.122594	0.25247	0.0820638	0.0214908	0.494986	0.0263944	0.0124677	0.158005	0.695039	3.13449	2.917974
560	-4088.835	-4082.53	-6.305041	0.2770979	0.149234	0.490018	0.709535	0.543395	0.222418	0.160781	0.209257	0.302405	0.110124	0.100712	0.165989	0.0654354	0.137109	0.36652	0.279483	0.126086	0.227911	0.105462	0.234565	0.0705956	0.0184875	0.524249	0.0466408	0.00362181	0.0868435	0.55526	3.35427	3.366413
570	-4091.158	-4089.691	-1.466838	0.3060824	0.162958	0.593631	0.477368	0.317688	0.153672	0.174457	0.217485	0.264819	0.0716968	0.111245	0.11358	0.0343885	0.189603	0.335701	0.297217	0.138956	0.228126	0.107219	0.231375	0.0480996	0.018236	0.517118	0.0779524	0.00580167	0.109234	0.605878	3.27909	2.882593
580	-4089.935	-4087.625	-2.309891	0.298098	0.145767	0.639828	0.491577	0.375269	0.249554	0.150622	0.232043	0.150001	0.145844	0.106069	0.191355	0.013569	0.0753993	0.349141	0.268035	0.145565	0.237259	0.0838014	0.226159	0.110962	0.0248123	0.505462	0.0488034	0.00514229	0.103016	0.592595	3.29925	2.966898
590	-4087.767	-4085.181	-2.585888	0.3630809	0.193732	0.620665	0.438982	0.396694	0.2145	0.264884	0.0917385	0.286867	0.093657	0.074487	0.134425	0.0512363	0.13263	0.349141	0.268035	0.145565	0.237259	0.0880633	0.200938	0.116605	0.0260742	0.531169	0.0371509	0.0117683	0.15369	0.688027	3.14651	2.994498
