Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	bls_prop[1]	bls_prop[2]	bls_prop[3]	bls_prop[4]	bls_prop[5]	bls_prop[6]	bls_prop[7]	bls_prop[8]	bls_prop[9]	bls_prop[10]	bls_prop[11]	bls_prop[12]	bls_prop[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
350	-4071.609	-4072.366	0.757417	0.1610191	0.738327	5.68743	3.66929	1.74966	1.19395	0.34062	0.138039	1.29919	0.747301	0.527502	2.0199	0.146071	0.430278	0.039509	0.304343	0.196349	0.093627	0.06389	0.0182271	0.00738665	0.0695218	0.0399892	0.0282275	0.108088	0.00781646	0.0230248	0.369013	0.302472	0.113588	0.214928	0.0215506	0.242928	0.0377882	0.0326848	0.612687	0.0523615	9.97433e-05	0.0147306	0.274755	3.71041	18.68756
360	-4072.14	-4075.12	2.980118	0.1513109	0.715421	6.79221	3.41218	3.21494	1.66737	0.47568	0.325618	1.74786	1.08407	0.209572	2.91046	0.324824	0.508678	0.0305881	0.290403	0.145889	0.137456	0.0712888	0.0203379	0.0139219	0.0747305	0.0463497	0.00896031	0.124438	0.013888	0.0217487	0.346036	0.314763	0.105574	0.233627	0.0185563	0.198082	0.0408006	0.0281435	0.692663	0.0217547	5.74918e-05	0.0111992	0.245777	3.74297	23.38889
370	-4069.114	-4072.165	3.051257	0.1583043	0.574009	6.34893	5.37861	3.02658	1.02796	0.755218	0.29383	1.55073	1.36705	0.333655	2.39015	0.147728	0.367453	0.0243617	0.269457	0.228276	0.128452	0.0436282	0.0320525	0.0124706	0.0658152	0.0580194	0.0141608	0.101441	0.00626979	0.0155952	0.348391	0.316905	0.106139	0.228566	0.0185563	0.198082	0.0408006	0.0281435	0.692663	0.0217547	8.60864e-05	0.0136905	0.266707	3.71952	23.5619
380	-4080.377	-4086.066	5.688557	0.1337986	0.511322	8.531	6.16507	1.61448	2.02194	1.07476	0.210194	2.15893	3.90568	0.894589	3.1978	0.218853	0.80691	0.0163302	0.272455	0.196895	0.0515618	0.0645749	0.0343247	0.00671299	0.0689499	0.124736	0.0285706	0.102129	0.00698952	0.0257704	0.359907	0.315699	0.101541	0.222852	0.0164026	0.175092	0.0360652	0.0232484	0.703306	0.0458854	1.73769e-05	0.00617112	0.19261	3.8012	31.31152
390	-4071.928	-4077.614	5.685972	0.1380757	0.744929	7.53512	6.76621	3.99449	1.88941	0.601632	0.252795	2.41224	1.28714	0.976331	3.82043	0.425818	0.595862	0.0237978	0.24072	0.216156	0.12761	0.0603598	0.01922	0.00807589	0.0770624	0.0411196	0.0311903	0.122049	0.0136034	0.0190357	0.341708	0.33665	0.10068	0.220961	0.00446276	0.224611	0.0341292	0.0165904	0.665554	0.0546529	2.39371e-05	0.00723909	0.205637	3.7871	31.3024
400	-4072.513	-4078.412	5.898468	0.1478008	0.666288	9.56359	7.20595	1.63936	1.93709	0.825911	0.465774	2.85895	1.37401	0.359428	4.43688	0.145698	0.585751	0.0207795	0.298259	0.224732	0.0511268	0.0604119	0.0257577	0.0145261	0.0891618	0.0428513	0.0112095	0.138373	0.00454388	0.0182678	0.352976	0.325698	0.107553	0.213773	0.0045718	0.244676	0.0332361	0.0161563	0.648137	0.0532226	4.62745e-05	0.0100523	0.235183	3.75472	32.06468
410	-4075.542	-4081.085	5.543085	0.1414527	0.655408	7.7151	4.6644	3.71176	1.80886	1.33834	0.374014	1.82015	1.70189	1.15588	4.09713	1.08389	0.676736	0.021277	0.250461	0.151424	0.120498	0.0587224	0.0434477	0.0121419	0.059089	0.0552499	0.0375242	0.133008	0.035187	0.0219694	0.358142	0.323098	0.106694	0.212066	0.00502709	0.187965	0.0541645	0.0188655	0.693061	0.0409171	3.04051e-05	0.00815519	0.215918	3.7759	30.80357
420	-4076.093	-4081.449	5.356367	0.1445046	0.670743	6.21126	6.13635	3.18414	1.98097	1.03509	0.411974	2.43401	2.67219	0.760199	3.7731	0.51773	0.379939	0.0222338	0.205891	0.203408	0.105548	0.0656652	0.0343114	0.0136561	0.0806827	0.0885777	0.0251991	0.125071	0.0171617	0.0125942	0.359695	0.324499	0.0990513	0.216756	0.00493464	0.184508	0.0607103	0.0428017	0.680315	0.0267301	3.738e-05	0.0090387	0.225193	3.76573	30.1677
430	-4071.344	-4071.365	0.02090354	0.1704192	0.39758	4.95035	3.0295	2.06148	1.02329	0.513316	0.256184	1.2802	0.582215	0.289586	1.72938	0.902113	0.370194	0.0228686	0.284742	0.174255	0.118576	0.0588592	0.0295257	0.0147356	0.0736365	0.0334888	0.0166569	0.0994734	0.0518891	0.0212934	0.371895	0.303739	0.117446	0.20692	0.00482415	0.180377	0.0593509	0.0337832	0.665082	0.0565833	0.000160151	0.0186388	0.302224	3.67898	17.3854
440	-4078.679	-4077.213	-1.466129	0.1536242	0.689729	3.33656	2.19331	1.79399	1.50384	0.543055	0.247408	1.02121	0.82257	0.368835	1.70963	0.640154	0.194718	0.0457835	0.221478	0.14559	0.119083	0.0998237	0.0360474	0.0164227	0.0677869	0.0546014	0.0244829	0.113483	0.0424928	0.0129252	0.364196	0.297451	0.115015	0.223338	0.00449951	0.197424	0.0737745	0.0512013	0.620325	0.0527756	6.59741e-05	0.0119931	0.252729	3.73521	15.06501
450	-4073.181	-4073.812	0.6313538	0.1601232	0.537363	3.58944	4.60091	2.63502	1.44001	0.533067	0.453099	0.942047	0.187245	0.444007	1.89536	0.932109	0.267055	0.0291147	0.194479	0.249281	0.142768	0.0780208	0.028882	0.0245493	0.0510408	0.0101451	0.0240566	0.102692	0.0505024	0.0144692	0.363312	0.294466	0.121126	0.221097	0.00346223	0.151911	0.0567672	0.00856815	0.741464	0.0378276	9.50648e-05	0.0143829	0.272105	3.71342	18.45674
460	-4075.222	-4078.716	3.49448	0.152083	0.170051	6.35059	4.87793	4.13594	1.45292	0.779923	0.921171	2.25269	0.594301	0.314582	1.53194	0.704052	0.590517	0.00689118	0.257353	0.197674	0.167606	0.0588783	0.0316058	0.0373297	0.0912886	0.0240836	0.0127482	0.0620807	0.0285311	0.0239302	0.372799	0.302155	0.114895	0.21015	0.00298345	0.182517	0.0682042	0.0102944	0.690552	0.0454487	6.02223e-05	0.0114609	0.2481	3.74038	24.6766
470	-4073.348	-4078.163	4.815162	0.1427044	0.695179	7.85191	6.20313	2.98927	1.44777	1.05994	0.598592	2.76276	0.550791	0.29155	1.66202	1.17749	1.13013	0.0244604	0.276276	0.218262	0.10518	0.0509409	0.037295	0.021062	0.0972099	0.01938	0.0102584	0.0584797	0.0414309	0.0397645	0.360722	0.293696	0.115372	0.23021	0.00306509	0.187512	0.047041	0.0105761	0.709448	0.0423582	3.31283e-05	0.00851117	0.219725	3.77173	28.42053
480	-4072.418	-4076.211	3.79283	0.1507851	0.907635	5.90031	5.33162	3.72795	1.73605	1.0014	0.996992	1.7424	0.298416	0.353731	1.97397	0.28385	1.21012	0.0356432	0.231708	0.209375	0.146398	0.0681756	0.0393255	0.0391523	0.0684246	0.0117189	0.0138912	0.0775188	0.0111469	0.047522	0.375035	0.296056	0.109806	0.219103	0.00451849	0.215955	0.0413852	0.020142	0.655556	0.0624434	5.56887e-05	0.011023	0.244193	3.74473	25.46445
490	-4071.496	-4073.158	1.662099	0.1504707	0.480125	5.52788	4.41213	2.13623	1.5056	0.744688	0.36043	1.38116	0.238339	0.498206	1.30999	0.43081	1.42325	0.0234793	0.270328	0.215764	0.104467	0.0736275	0.0364171	0.0176259	0.0675423	0.0116554	0.0243636	0.0640619	0.0210677	0.0696003	0.359751	0.302761	0.112203	0.225285	0.0127254	0.235247	0.0451792	0.00363784	0.646127	0.0570841	5.46315e-05	0.0109184	0.243246	3.74578	20.44883
500	-4071.355	-4074.812	3.456264	0.1410746	0.370596	7.26228	4.7966	3.92379	1.52099	0.982763	0.550985	1.76173	0.240409	0.206161	1.90464	0.129138	0.927833	0.0150784	0.29548	0.195159	0.159647	0.0618846	0.0399856	0.0224179	0.0716794	0.00978151	0.00838806	0.0774941	0.00525422	0.0377507	0.359284	0.302368	0.113356	0.224993	0.0127817	0.236289	0.0409496	0.00365396	0.648989	0.0573369	2.96188e-05	0.00804943	0.214768	3.77715	24.57792
