Iteration	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
560	-4274.284	-4289.573	15.28966	0.0808298	0.177314	0.213547	0.202637	0.19151	0.109614	0.0974374	0.111831	0.0676743	0.0761366	0.0174271	0.0235772	0.0676666	0.19375	0.279489	0.136396	0.0457903	0.297891	0.0466843	0.257217	0.277088	0.177711	0.287985	1.437202
570	-4280.628	-4295.151	14.52307	0.104356	0.236337	0.240228	0.199147	0.118578	0.143275	0.0944426	0.110955	0.077647	0.0822352	0.011021	0.0463537	0.0492838	0.20944	0.267387	0.150032	0.033723	0.285123	0.054295	0.263632	0.31751	0.167256	0.251602	1.513861
580	-4275.137	-4290.926	15.78943	0.0952367	0.179302	0.248479	0.168302	0.156302	0.0927263	0.0723158	0.108616	0.0664649	0.0749563	0.016779	0.061414	0.0463304	0.221408	0.283094	0.136354	0.0410655	0.286008	0.0320716	0.259572	0.263002	0.176118	0.301308	1.387224
590	-4274.565	-4289.736	15.1707	0.129964	0.19612	0.18582	0.213008	0.124076	0.11371	0.0912015	0.149106	0.0697635	0.0573918	0.0254645	0.0622355	0.0312364	0.234446	0.221041	0.156168	0.0604386	0.300943	0.0269642	0.256188	0.273781	0.181979	0.288052	1.449098
600	-4269.235	-4284.489	15.25369	0.122615	0.184822	0.238475	0.192054	0.144632	0.136318	0.0978697	0.114597	0.0465496	0.0601421	0.0394196	0.0221075	0.0411964	0.210795	0.286816	0.135537	0.0478894	0.296656	0.0223064	0.273311	0.262558	0.175217	0.288914	1.440798
610	-4271.006	-4286.814	15.80783	0.0871484	0.156342	0.233544	0.19677	0.144632	0.13072	0.0919451	0.144333	0.0447627	0.0551045	0.0165206	0.0244151	0.0591471	0.204155	0.240892	0.157143	0.0518207	0.318877	0.0271119	0.267468	0.253652	0.189494	0.289386	1.385385
620	-4270.345	-4285.203	14.85823	0.0838479	0.212817	0.250053	0.189659	0.127472	0.125704	0.112528	0.144876	0.0602975	0.0717843	0.0339313	0.0338519	0.0335233	0.193322	0.268313	0.148806	0.0568905	0.309802	0.0228656	0.267392	0.290141	0.151778	0.290689	1.480344
630	-4275.49	-4291.571	16.08105	0.103331	0.185412	0.24559	0.156721	0.140321	0.0856959	0.0720444	0.12873	0.0732828	0.0432686	0.0395542	0.0369076	0.0472045	0.167801	0.26812	0.152326	0.0673808	0.315528	0.028844	0.291291	0.278496	0.15119	0.279023	1.358063
640	-4273.814	-4290.021	16.20776	0.126833	0.163627	0.192802	0.195108	0.102421	0.100132	0.0973798	0.113494	0.039601	0.0635457	0.0330345	0.0658223	0.05159	0.227511	0.216698	0.147354	0.0429596	0.327944	0.0375333	0.267712	0.255954	0.194388	0.281946	1.345391
650	-4268.066	-4283.464	15.39796	0.114716	0.18446	0.235197	0.160175	0.165211	0.100384	0.0855027	0.145626	0.0632649	0.0746566	0.0202145	0.0294957	0.0474672	0.204506	0.25697	0.137208	0.0686977	0.298459	0.0341588	0.276682	0.269342	0.161149	0.292827	1.426371
