Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
600	-4082.029	-4078.394	-3.63454	0.3428359	0.194332	0.586217	0.500322	0.442661	0.204687	0.249887	0.189451	0.23107	0.16682	0.121734	0.0475252	0.109884	0.0547737	0.339122	0.283285	0.140408	0.237185	0.10961	0.218013	0.068127	0.0401575	0.544855	0.0192368	0.00940344	0.137976	0.661203	3.19142	3.099363
610	-4086.148	-4081.648	-4.499556	0.3361815	0.292924	0.552115	0.514145	0.444502	0.200416	0.25202	0.104544	0.254646	0.15484	0.124385	0.12304	0.0533624	0.114924	0.342597	0.286188	0.141846	0.229368	0.105012	0.213933	0.0668518	0.051371	0.534657	0.0281756	0.00868377	0.13278	0.65185	3.20669	3.185864
620	-4085.004	-4082.264	-2.740168	0.3167846	0.146269	0.460998	0.369028	0.51021	0.2165	0.209884	0.142304	0.213928	0.133457	0.160101	0.289369	0.0429528	0.114924	0.340233	0.284213	0.147769	0.227785	0.0887706	0.171705	0.0782486	0.0385298	0.593639	0.0291073	0.00675525	0.117599	0.622943	3.2527	3.009926
630	-4082.405	-4085.349	2.944093	0.3641738	0.167999	0.363081	0.419737	0.291452	0.234077	0.169149	0.116555	0.212435	0.133457	0.112267	0.120734	0.0198263	0.0807293	0.347965	0.267945	0.151128	0.232962	0.156983	0.177736	0.0809974	0.0228512	0.525848	0.0355841	0.0119032	0.154533	0.689408	3.14416	2.441499
640	-4087.071	-4085.837	-1.233803	0.4025939	0.221329	0.534617	0.457656	0.413021	0.245989	0.214585	0.167172	0.143486	0.152736	0.0614131	0.0959209	0.0706354	0.0807293	0.347227	0.267377	0.150851	0.234545	0.0974337	0.207822	0.0839584	0.0288291	0.545072	0.0368849	0.0170904	0.183691	0.734072	3.06515	2.859289
650	-4083.06	-4078.762	-4.297791	0.3699263	0.167654	0.488668	0.693733	0.383178	0.265946	0.196374	0.179101	0.262819	0.179165	0.128003	0.110598	0.0445455	0.0659033	0.36043	0.277544	0.118563	0.243463	0.0962667	0.208436	0.0808123	0.0404289	0.50774	0.0663161	0.0126256	0.15896	0.696573	3.13184	3.165688
660	-4082.007	-4084.081	2.074328	0.3828391	0.141246	0.435112	0.43617	0.341994	0.231829	0.215922	0.104806	0.224279	0.139405	0.111127	0.110598	0.0227944	0.0131932	0.333687	0.277718	0.163196	0.225399	0.0947639	0.205182	0.0951616	0.0397978	0.499814	0.0652809	0.0143185	0.168825	0.712022	3.10483	2.528476
670	-4093.137	-4092.262	-0.8745802	0.4064153	0.2061	0.476666	0.554735	0.426183	0.177396	0.205675	0.0920074	0.256946	0.136361	0.0758869	0.0834052	0.0328766	0.0991278	0.33544	0.305547	0.132335	0.226677	0.0934964	0.202437	0.0954622	0.0302133	0.493129	0.0852614	0.0176507	0.186532	0.73813	3.05769	2.823367
680	-4082.156	-4079.461	-2.695656	0.3218119	0.173853	0.581458	0.424182	0.417259	0.228835	0.212349	0.166397	0.271853	0.211774	0.0307579	0.150458	0.0497516	0.0865473	0.330111	0.307997	0.133397	0.228495	0.0938544	0.203212	0.0930894	0.0444039	0.495017	0.0704227	0.00723053	0.121535	0.630678	3.24056	3.005474
690	-4080.017	-4081.382	1.365001	0.4402986	0.1407	0.449412	0.397692	0.38308	0.255464	0.176358	0.134533	0.210199	0.104142	0.0782965	0.0996422	0.107641	0.0622481	0.35634	0.284399	0.132427	0.226834	0.096426	0.208781	0.0884707	0.0456206	0.508581	0.0521214	0.0229313	0.211168	0.77145	2.99445	2.599409
700	-4081.79	-4081.718	-0.07283123	0.3540807	0.146051	0.627538	0.482425	0.412231	0.183131	0.183334	0.130931	0.160244	0.145341	0.0452098	0.0458708	0.0864547	0.0944311	0.340964	0.272127	0.126713	0.260196	0.096426	0.208781	0.0884707	0.0456206	0.508581	0.0521214	0.0106849	0.146725	0.676396	3.16619	2.743192
710	-4085.031	-4081.23	-3.801115	0.3358242	0.19907	0.561517	0.673716	0.407738	0.170271	0.214471	0.166073	0.239647	0.112013	0.0312707	0.120553	0.0742142	0.145464	0.338111	0.26985	0.134021	0.258018	0.0961421	0.208166	0.0882103	0.0484303	0.507083	0.051968	0.00864595	0.1325	0.65134	3.20751	3.11602
720	-4085.816	-4081.946	-3.870321	0.3390185	0.103467	0.454007	0.644269	0.471142	0.123334	0.287242	0.174865	0.284388	0.175397	0.02165	0.112336	0.109317	0.161526	0.331401	0.300946	0.126463	0.24119	0.0868608	0.258829	0.0766899	0.043755	0.486914	0.0469511	0.00898702	0.134996	0.655871	3.20015	3.122941
730	-4082.073	-4081.096	-0.9766454	0.3947912	0.123896	0.546564	0.537433	0.405029	0.254089	0.197371	0.178728	0.194023	0.214434	0.00726212	0.0419022	0.0713828	0.0614589	0.321881	0.321358	0.126647	0.230115	0.0826075	0.246155	0.0907898	0.0416124	0.464128	0.0747069	0.0159702	0.177854	0.725582	3.08059	2.833573
740	-4090.599	-4094.106	3.507096	0.3406856	0.149146	0.417106	0.312317	0.312658	0.217313	0.20021	0.146652	0.210597	0.0705292	0.0239144	0.109481	0.0856627	0.129612	0.292912	0.328276	0.122301	0.256511	0.0870793	0.25948	0.0957046	0.0438651	0.43512	0.0787511	0.0091677	0.136298	0.658211	3.19632	2.385199
750	-4083.187	-4086.858	3.670286	0.3909508	0.0950704	0.377525	0.444263	0.335446	0.126195	0.159447	0.169467	0.223517	0.138977	0.0213647	0.0868657	0.105054	0.0856875	0.30841	0.292735	0.128772	0.270083	0.104243	0.306791	0.088013	0.0405447	0.418182	0.0422258	0.0154308	0.174964	0.7213	3.08831	2.36888
