Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
410	-4083.468	-4077.708	-5.76008	0.3089868	0.134991	0.559055	0.565736	0.429292	0.211974	0.189801	0.211961	0.266858	0.183999	0.0932704	0.112558	0.085829	0.266592	0.0845758	0.23736	0.0820707	0.0523287	0.511438	0.0322271	0.342794	0.29333	0.116666	0.24721	0.00605258	0.111502	0.610591	3.27185	3.311917
420	-4084.882	-4079.97	-4.912222	0.3049102	0.203911	0.642541	0.559031	0.418694	0.185097	0.200941	0.177445	0.188842	0.154729	0.0731161	0.149081	0.0529426	0.220758	0.102215	0.233579	0.109761	0.0154783	0.505441	0.0335261	0.337	0.285284	0.137127	0.240588	0.00570206	0.10832	0.603957	3.28202	3.227131
430	-4082.735	-4085.037	2.302413	0.347663	0.0996669	0.485231	0.462743	0.328091	0.164088	0.194347	0.130716	0.147261	0.0557834	0.186376	0.105268	0.030862	0.115236	0.0888237	0.260105	0.133444	0.016204	0.467843	0.0335807	0.329889	0.320073	0.124815	0.225223	0.0099436	0.141737	0.667818	3.1805	2.505667
440	-4082.98	-4078.393	-4.586786	0.3108878	0.170791	0.448084	0.644371	0.359798	0.260305	0.259072	0.172081	0.241435	0.0640913	0.160873	0.112965	0.0564343	0.244287	0.0673266	0.198381	0.10932	0.0233196	0.563956	0.0376958	0.349725	0.297414	0.13232	0.22054	0.00621999	0.112987	0.613642	3.26715	3.194587
450	-4085.618	-4084.495	-1.123254	0.3355442	0.170447	0.54225	0.535626	0.298122	0.169634	0.171237	0.11576	0.269217	0.136159	0.0531525	0.123516	0.0361434	0.226972	0.0816919	0.193208	0.11138	0.0199817	0.580097	0.0136426	0.354891	0.280331	0.147544	0.217235	0.00861639	0.132281	0.65094	3.20816	2.848234
460	-4083.427	-4080.719	-2.708197	0.3665255	0.16786	0.527845	0.670453	0.401838	0.193032	0.174733	0.14665	0.246799	0.0247362	0.0672637	0.0615324	0.148557	0.17543	0.0718022	0.218208	0.134589	0.0486083	0.503617	0.0231766	0.337054	0.282367	0.144349	0.236231	0.0121961	0.156345	0.692359	3.1391	3.006728
470	-4087.247	-4084.524	-2.722622	0.3129013	0.213147	0.590193	0.548517	0.390847	0.21116	0.231285	0.130875	0.3063	0.00789223	0.0914137	0.049676	0.155538	0.0813263	0.0681221	0.15141	0.141823	0.054627	0.563364	0.020654	0.322261	0.294175	0.155601	0.227963	0.00640005	0.114562	0.616846	3.26219	3.008171
480	-4084.563	-4077.95	-6.61245	0.3289943	0.181496	0.678839	0.474917	0.541341	0.327116	0.237079	0.141665	0.307499	0.0551792	0.131372	0.0549653	0.134959	0.130726	0.0540647	0.173548	0.107381	0.0403258	0.559599	0.0650815	0.340236	0.306011	0.137701	0.216052	0.0079395	0.127158	0.641431	3.22347	3.397154
490	-4086.053	-4082.045	-4.007981	0.3509315	0.107655	0.579116	0.521492	0.395798	0.308646	0.20829	0.146919	0.323489	0.0469649	0.185901	0.0346544	0.180242	0.0975382	0.092222	0.24658	0.0994861	0.015406	0.490273	0.056033	0.328844	0.302905	0.134818	0.233434	0.0103179	0.144279	0.672217	3.17319	3.136707
500	-4080.868	-4079.706	-1.161602	0.3271928	0.186874	0.495833	0.428012	0.314845	0.255997	0.227813	0.170697	0.258025	0.118139	0.0355823	0.0382213	0.296509	0.0255219	0.082517	0.248854	0.0887989	0.0427348	0.493722	0.0433733	0.339856	0.296456	0.131947	0.231742	0.00775839	0.125748	0.638766	3.22773	2.852069
510	-4086.724	-4079.683	-7.041451	0.2981855	0.191181	0.546487	0.610751	0.46495	0.253106	0.261513	0.197403	0.17954	0.0394573	0.132705	0.210591	0.324372	0.027998	0.0651964	0.209959	0.0866983	0.0226256	0.566126	0.0493947	0.351073	0.293789	0.12548	0.229657	0.00514927	0.103084	0.592743	3.29902	3.440054
520	-4085.86	-4084.299	-1.561115	0.3508284	0.174647	0.669621	0.475841	0.284291	0.317895	0.164039	0.133009	0.212738	0.0482897	0.132705	0.156067	0.106804	0.0160735	0.0848484	0.261304	0.0984894	0.0218552	0.488766	0.0447372	0.325862	0.290759	0.14254	0.240839	0.010306	0.144199	0.672079	3.17342	2.89202
530	-4083.506	-4081.748	-1.757801	0.3767566	0.19481	0.44802	0.489339	0.355248	0.275421	0.200246	0.160876	0.31213	0.0318877	0.149516	0.0647361	0.214827	0.0146322	0.0790426	0.214766	0.0767831	0.0418815	0.548557	0.0389697	0.323397	0.292587	0.139763	0.244254	0.013509	0.164191	0.704852	3.11745	2.911689
540	-4084.765	-4083.042	-1.722468	0.4516614	0.138575	0.450665	0.48564	0.386301	0.239093	0.2182	0.179193	0.272472	0.0200237	0.149516	0.0432333	0.215027	0.110217	0.084105	0.215274	0.104365	0.0362362	0.505281	0.0547391	0.356252	0.297858	0.124211	0.221679	0.0248178	0.219193	0.781639	2.97435	2.908156
550	-4087.892	-4081.203	-6.689286	0.334878	0.238088	0.599733	0.67444	0.369758	0.180023	0.304915	0.142462	0.282689	0.0324597	0.102174	0.184258	0.247317	0.0465206	0.0703784	0.198227	0.0838411	0.0268058	0.572867	0.0478813	0.339215	0.294255	0.137856	0.228674	0.00854622	0.13176	0.649985	3.20971	3.404837
560	-4082.915	-4082.533	-0.3811429	0.3563611	0.187031	0.619681	0.515279	0.360614	0.229484	0.188618	0.112746	0.235462	0.0141244	0.0349424	0.0422064	0.160512	0.0733226	0.0914168	0.178109	0.0775815	0.0299038	0.575165	0.0478233	0.362262	0.278347	0.146283	0.213108	0.0109547	0.148493	0.679387	3.16117	2.774023
570	-4088.046	-4084.16	-3.885668	0.3573562	0.185925	0.465373	0.460585	0.36852	0.292383	0.255381	0.212719	0.344521	0.0569308	0.0965334	0.0311643	0.127761	0.226679	0.0967137	0.211822	0.0766743	0.057942	0.476707	0.0801402	0.336668	0.283387	0.130469	0.249476	0.0110734	0.149264	0.680682	3.15898	3.124476
580	-4082.966	-4081.495	-1.471271	0.3482992	0.171148	0.375083	0.435944	0.509302	0.223198	0.213965	0.141993	0.283709	0.0286846	0.0857549	0.11332	0.161581	0.139354	0.096258	0.224642	0.101092	0.0177891	0.53478	0.0254388	0.343711	0.287325	0.143406	0.225559	0.0100159	0.142232	0.668679	3.17907	2.883036
590	-4082.902	-4079.386	-3.51527	0.3338742	0.173059	0.549739	0.486421	0.430142	0.251196	0.134483	0.154202	0.217973	0.0612839	0.102998	0.1003	0.212395	0.213243	0.0760854	0.223168	0.113754	0.0296114	0.52793	0.0294508	0.353582	0.282022	0.134959	0.229437	0.00844107	0.130976	0.648541	3.21204	3.087436
600	-4084.951	-4083.498	-1.452289	0.3726766	0.13052	0.461712	0.590208	0.422967	0.174131	0.245222	0.1682	0.206361	0.12898	0.0574683	0.0681284	0.11088	0.116359	0.060347	0.264712	0.109885	0.0487634	0.487984	0.0283082	0.323555	0.294328	0.134397	0.24772	0.012978	0.16107	0.699936	3.12602	2.881138
610	-4080.759	-4075.19	-5.569042	0.3406476	0.197015	0.596224	0.660408	0.380666	0.282327	0.183711	0.178315	0.290076	0.0832305	0.105709	0.0572245	0.161881	0.116027	0.0794658	0.219907	0.0995149	0.0519548	0.500239	0.048918	0.322408	0.309983	0.126813	0.240797	0.00916356	0.136268	0.658158	3.19641	3.292813
620	-4086.146	-4078.111	-8.034751	0.3152465	0.176583	0.659497	0.476249	0.513456	0.328615	0.243972	0.189993	0.194062	0.0659009	0.117719	0.085325	0.315656	0.172354	0.0548739	0.223794	0.0781416	0.0357012	0.556299	0.0511907	0.333593	0.306866	0.124495	0.235046	0.00661332	0.116396	0.620541	3.25645	3.539384
630	-4088.546	-4076.575	-11.97062	0.2952265	0.214309	0.649147	0.649028	0.499537	0.399905	0.263009	0.134842	0.292633	0.0530213	0.247891	0.0225589	0.246445	0.260645	0.0498758	0.224434	0.0853107	0.0511459	0.552689	0.0365445	0.342356	0.29351	0.130762	0.233372	0.00491609	0.100787	0.587698	3.3066	3.932971
640	-4087.819	-4079.196	-8.622324	0.3363314	0.175254	0.593877	0.670138	0.346814	0.330485	0.266224	0.153607	0.334287	0.138954	0.189514	0.0857312	0.195928	0.117328	0.090314	0.283103	0.0542316	0.0285799	0.490811	0.0529605	0.346156	0.300741	0.12262	0.230483	0.00869966	0.132897	0.652064	3.20634	3.598141
