Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	TL
300	-32337.87	-32409.13	71.25945	0.194587	0.0747328	0.0331775	0.0379618	0.140581	0.168628	0.0676759	0.0599723	0.0289375	0.0489611	0.135241	0.0723209	0.0755454	0.104317	0.0114116	0.0138485	0.101771	0.204889	0.0530894	0.0516765	0.108616	0.126492	0.043174	0.0227815	0.29598	0.181321	0.0252298	0.154411	0.0550494	0.23349	0.0458033	0.0952327	0.0858975	0.080608	0.0669256	0.0012692	0.0107871	0.00636633	0.109089	0.0482656	0.136813	0.053423	0.0301068	0.0875623	0.0807546	0.00671911	0.0485547	0.00641637	3.926463
310	-32343	-32414.37	71.37412	0.177108	0.07251	0.0357593	0.0470715	0.140765	0.187549	0.0626247	0.0634803	0.0334543	0.0451247	0.139136	0.0647137	0.0774465	0.0948921	0.00725777	0.0114305	0.0984235	0.211057	0.0524812	0.0479756	0.0956372	0.133692	0.0279885	0.0304494	0.283087	0.184427	0.0301115	0.14935	0.064491	0.227101	0.0536029	0.0886167	0.0991313	0.0897336	0.0764962	0.00141581	0.00764339	0.0105993	0.114197	0.0340287	0.126992	0.0299538	0.0453196	0.0841987	0.0936046	0.00577824	0.044005	0.0130856	3.914996
320	-32341.83	-32413.32	71.49482	0.185521	0.0908118	0.0438853	0.0336565	0.146799	0.1791	0.0542741	0.0620151	0.025737	0.0507461	0.135499	0.0825919	0.0856413	0.0912337	0.00701309	0.0123257	0.097984	0.212084	0.0645562	0.0473618	0.124816	0.126881	0.0399479	0.0240743	0.274092	0.183098	0.0204285	0.133973	0.0568571	0.220845	0.0383171	0.0917562	0.0985782	0.0957279	0.0530397	0.00113772	0.00948012	0.0117477	0.115937	0.0280858	0.129055	0.0443785	0.0408653	0.0778967	0.0835296	0.00149539	0.0526586	0.0153906	3.902926
330	-32335.11	-32406.49	71.3768	0.201661	0.0627089	0.0352	0.034174	0.155786	0.153936	0.0637705	0.0589176	0.0245176	0.0553779	0.127867	0.0725962	0.0703866	0.113554	0.00416448	0.0137994	0.0957378	0.230192	0.0501611	0.0599908	0.104097	0.128157	0.0386669	0.0296605	0.284479	0.205415	0.0212581	0.1563	0.0474667	0.216911	0.0379124	0.0781655	0.0864581	0.0855825	0.0679074	0.00218733	0.00899436	0.00812056	0.120381	0.034139	0.129106	0.040804	0.0457943	0.086918	0.0817063	0.00211204	0.052611	0.0289189	3.914728
340	-32339.73	-32411.16	71.42655	0.208144	0.0770849	0.0385573	0.0408012	0.144903	0.165448	0.0552787	0.0540366	0.0366408	0.0381612	0.143107	0.0694544	0.0713816	0.109946	0.0100447	0.0134202	0.0936882	0.222397	0.0542917	0.0647245	0.0904648	0.131169	0.0392536	0.0196673	0.285309	0.194237	0.0223266	0.161038	0.049779	0.230631	0.0459194	0.087701	0.0941286	0.0821622	0.0555998	0.00213552	0.0135582	0.0074613	0.120855	0.0346229	0.10873	0.0552573	0.0503278	0.0814616	0.0811181	0.00637169	0.0392587	0.00769811	3.909753
350	-32343.4	-32414.65	71.2429	0.213991	0.0760626	0.0450012	0.0369925	0.145514	0.162772	0.0608821	0.0632937	0.0250153	0.0505506	0.121888	0.0691724	0.087355	0.0907623	0.00969473	0.0158077	0.0810865	0.221998	0.0645003	0.0499218	0.0982304	0.129131	0.0393498	0.0301471	0.298605	0.215253	0.0151303	0.149401	0.0495118	0.249944	0.0485193	0.091819	0.0844252	0.0834747	0.0600445	0.00877304	0.0121327	0.00801356	0.103576	0.0323836	0.135751	0.0483403	0.0365706	0.0832865	0.0584547	0.00551354	0.0420618	0.0180135	3.928119
360	-32345.61	-32416.82	71.21411	0.195574	0.0779672	0.0421402	0.033509	0.164566	0.190954	0.0588808	0.0484258	0.0227628	0.0382457	0.141379	0.0687657	0.0783773	0.0905325	0.00696119	0.0132041	0.0785819	0.19085	0.0431472	0.0528205	0.11465	0.12749	0.034167	0.0342094	0.27971	0.201947	0.0343677	0.157716	0.0453757	0.242465	0.0210285	0.0947246	0.100233	0.100484	0.0730046	0.00270139	0.0148129	0.0102036	0.109882	0.0353767	0.137768	0.0411031	0.0475935	0.0845119	0.0605801	0.000413318	0.0525292	0.0343066	3.930998
370	-32339.7	-32410.33	70.62933	0.208271	0.0755822	0.0461406	0.0381103	0.132844	0.17744	0.0582355	0.0593432	0.0352189	0.0380637	0.134457	0.0696205	0.0885956	0.10185	0.00836493	0.01001	0.0968013	0.218727	0.0623908	0.051462	0.0875191	0.117431	0.0274376	0.0272359	0.309142	0.196372	0.0303564	0.177292	0.0486271	0.230809	0.0478019	0.0956028	0.09197	0.0943321	0.0549559	0.00725057	0.0118623	0.00852693	0.126704	0.0368966	0.123454	0.0490847	0.0461621	0.0829092	0.0785381	0.00561711	0.0531962	0.010859	3.989475
380	-32336.36	-32407.52	71.15705	0.200323	0.0679497	0.0417592	0.0396605	0.144471	0.167212	0.0515552	0.0671246	0.0295891	0.0341629	0.137129	0.0613649	0.0731828	0.0981924	0.00740805	0.0146854	0.102053	0.232209	0.0511726	0.0491808	0.103427	0.112253	0.0305672	0.0318255	0.313125	0.204055	0.0241207	0.193305	0.0575563	0.226775	0.0282275	0.0738614	0.100998	0.0852657	0.0630469	0.00259383	0.0170801	0.00541258	0.115146	0.0357166	0.146475	0.0395946	0.0421154	0.0685238	0.076452	0.000416577	0.0458743	0.022506	3.936703
390	-32331.99	-32402.76	70.77211	0.199694	0.0673971	0.0376418	0.040849	0.144702	0.170136	0.0616207	0.0599908	0.0319941	0.0424776	0.132921	0.079185	0.0841886	0.104958	0.00821217	0.0143056	0.0960927	0.238165	0.0522718	0.0628897	0.0899327	0.124457	0.0369804	0.030792	0.315421	0.193779	0.0249492	0.161161	0.0699734	0.23963	0.0360719	0.0861948	0.0870229	0.0796811	0.0645782	0.000176104	0.0197395	0.00870859	0.112237	0.0345475	0.134201	0.0351744	0.0397006	0.0821262	0.0724634	0.00218205	0.0493987	0.0142246	3.975198
