Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	kappa	omega	pi[1]	pi[2]	pi[3]	pi[4]	TL
300	-4682.155	-4705.283	23.12756	0.147619	0.053547	0.0216668	0.0257536	0.0916871	0.157498	0.0501749	0.056519	0.0360529	0.00882241	0.113666	0.0357096	0.0814835	0.0805824	0.0466842	0.0348192	0.0445915	0.0203387	0.089957	0.0711815	0.0168731	0.0266188	0.00614584	0.00945569	0.00911119	0.0128516	0.00335343	0.0251309	0.000171169	0.00540217	0.0111663	0.00087308	0.00207466	0.0028095	0.187736	0.0111297	0.00854163	3.351081	1.138524	0.265604	0.247741	0.23277	0.253885	1.607799
310	-4668.855	-4690.648	21.79308	0.14709	0.067963	0.0306047	0.0230104	0.0810154	0.188661	0.0578488	0.0505976	0.0364921	0.00826019	0.0890368	0.0444471	0.0885241	0.0660459	0.0569693	0.0337072	0.0591957	0.026439	0.082597	0.066529	0.0273016	0.0183933	0.00679303	0.0122631	0.00423906	0.00682927	0.00264945	0.0201523	0.000224896	0.0099602	0.0145961	0.00330561	0.00170302	0.00157036	0.175913	0.0126336	0.00925704	4.470126	1.103758	0.263163	0.254654	0.23063	0.251552	1.632819
320	-4672.253	-4694.983	22.73048	0.131107	0.0652946	0.027271	0.0271325	0.0644692	0.161757	0.0702506	0.0621594	0.0366099	0.00331552	0.0753223	0.0333066	0.0764998	0.0742138	0.0546101	0.0304611	0.047445	0.0400973	0.0552193	0.0765224	0.0124516	0.0215631	0.00218823	0.0052496	0.00158172	0.0294203	0.000745066	0.0327148	0.000844693	0.0120456	0.0195142	0.00257357	0.00260251	0.00102609	0.173405	0.0150483	0.00275346	4.372995	1.103758	0.263163	0.254654	0.23063	0.251552	1.548792
330	-4668.628	-4691.34	22.71188	0.164405	0.0564865	0.0276299	0.0241276	0.0738842	0.161757	0.0726198	0.0427894	0.0259569	0.0114818	0.0869975	0.0278143	0.0885925	0.0694696	0.0590056	0.0317062	0.0616647	0.0509077	0.0472352	0.0642959	0.0204369	0.0295638	0.00315477	0.00575673	0.0100437	0.0250225	0.000187128	0.0230911	0.00108926	0.00368573	0.0156542	0.00253777	0.00618444	0.00136274	0.141233	0.0128112	0.0106331	4.214338	1.156194	0.255711	0.247443	0.2241	0.272746	1.561275
340	-4667.482	-4690.485	23.00332	0.163928	0.0701201	0.0252425	0.0227271	0.0631216	0.188242	0.0679331	0.040902	0.0303222	0.0120539	0.0736451	0.027809	0.0830264	0.0767346	0.064311	0.0316305	0.0777018	0.0257266	0.0598309	0.0842239	0.0133616	0.0352602	0.00169038	0.00416716	0.0191246	0.0186406	0.000234175	0.0285472	0.00388346	0.00139832	0.00915898	0.00517685	0.0100298	0.00106104	0.128321	0.00407997	0.0018945	4.008364	0.9308442	0.255148	0.246898	0.223606	0.274348	1.575263
350	-4665.117	-4687.824	22.70766	0.12563	0.0678088	0.0224041	0.0335638	0.100806	0.175588	0.0637255	0.0477085	0.0410885	0.00327627	0.0680962	0.0345297	0.0748888	0.0749996	0.0471015	0.0411001	0.0489246	0.0473966	0.0864352	0.06307	0.0146848	0.0173445	0.00174926	0.00451531	0.0165861	0.023397	0.000843483	0.0251021	0.00447265	0.00224312	0.00887837	0.0180989	0.016718	0.00359709	0.14706	0.00146662	0.00241266	4.159987	1.054395	0.265668	0.234056	0.232825	0.267451	1.577312
360	-4654.877	-4678.201	23.32438	0.130829	0.0548291	0.0212353	0.0229654	0.0628108	0.180192	0.0485188	0.0479935	0.0343286	0.00882556	0.0823148	0.0563388	0.0776132	0.0594502	0.0459867	0.0331231	0.044111	0.0317134	0.0721472	0.0589817	0.0229543	0.0379722	0.00477737	0.00506715	0.014837	0.0248857	0.00185687	0.0298118	0.00233332	0.0211449	0.0158887	0.0103765	0.0070282	0.00135227	0.124204	0.00385131	0.00153723	4.227701	1.1012	0.265668	0.234056	0.232825	0.267451	1.504187
370	-4662.082	-4683.992	21.90978	0.149082	0.0797039	0.0298479	0.0273422	0.0670172	0.161046	0.0810914	0.0746155	0.0512733	0.00909917	0.0911063	0.0540696	0.0945186	0.0596325	0.0549496	0.0442291	0.062371	0.0234869	0.07718	0.0587883	0.0162771	0.0130545	0.00211757	0.00712494	0.0091869	0.0192297	0.00193626	0.0348591	0.00776843	0.0135594	0.0213278	0.012434	0.00509628	0.00073246	0.143412	0.00107251	0.00389221	4.048859	1.1012	0.266763	0.235021	0.233785	0.264431	1.663531
380	-4656.713	-4680.258	23.54454	0.146875	0.0626022	0.0282111	0.0183763	0.0579439	0.173736	0.0534447	0.036918	0.0381058	0.0106766	0.0663027	0.0508952	0.0852328	0.0685909	0.0677332	0.0219646	0.0743048	0.0359515	0.0534278	0.0584725	0.0188482	0.0372965	0.000567635	0.00642052	0.00465032	0.0334691	0.00144236	0.036166	0.0113688	0.0066974	0.0108996	0.0126311	0.00543233	0.000397335	0.108521	0.00243636	0.00219553	3.953911	1.104655	0.265436	0.238828	0.232622	0.263115	1.509205
390	-4664.522	-4686.546	22.02496	0.143882	0.0874575	0.0109569	0.0276069	0.0736778	0.178197	0.0634661	0.0482003	0.0385462	0.00523206	0.0867704	0.0369486	0.0937488	0.0836407	0.0508697	0.0345369	0.0422251	0.0457405	0.0770503	0.0946865	0.0157303	0.0204	0.000720744	0.0119235	0.0117956	0.019935	0.00338021	0.0259527	0.00720502	0.00882442	0.0208033	0.018079	0.00651313	0.00169441	0.132892	0.0132504	0.00139567	4.203679	1.027162	0.265436	0.238828	0.232622	0.263115	1.643936
