Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
37	-15810.02	-15822.98	12.9639	0.126925	0.108368	0.101462	0.0996841	0.100525	0.0799676	0.124105	0.0817744	0.0977494	0.158334	0.0730694	0.0862285	0.123851	0.0868555	0.12754	0.121783	0.131737	0.124501	0.133851	0.0833671	0.0962582	0.0817771	0.181807	0.0333601	0.0263088	0.0359391	0.0342001	0.0414709	0.048181	0.0114121	0.0252237	0.0249679	0.0629553	0.0300674	0.0561389	0.019989	0.0318912	0.0650583	0.0244276	0.0430251	0.0174028	0.0104692	0.0185094	3.192518
38	-15810.76	-15823.28	12.52028	0.126925	0.108368	0.101462	0.0996841	0.129291	0.0891626	0.124105	0.0817744	0.0864439	0.158334	0.0730694	0.0862285	0.123851	0.0868555	0.12754	0.126891	0.129455	0.124501	0.133851	0.0833671	0.0962582	0.0817771	0.181807	0.0354556	0.0263088	0.0490774	0.0427264	0.0414709	0.048181	0.0114121	0.0252237	0.0254113	0.0629553	0.0285155	0.0561389	0.019989	0.0387022	0.0416412	0.0248901	0.0430251	0.0261521	0.0100914	0.0185094	3.23688
39	-15812.67	-15824.77	12.09571	0.126925	0.108368	0.101462	0.0996841	0.12764	0.0891626	0.124105	0.0830281	0.0979117	0.158334	0.0730694	0.0862285	0.126928	0.114951	0.12754	0.126891	0.126847	0.124501	0.133851	0.0833671	0.0962582	0.0873139	0.181807	0.0354556	0.0263088	0.0490774	0.0455649	0.0414709	0.048181	0.0177362	0.0252237	0.0254113	0.0629553	0.030961	0.05227	0.0191419	0.0387022	0.0320344	0.0248901	0.0430251	0.0261521	0.0100914	0.0185094	3.279337
40	-15812.62	-15825.35	12.73714	0.126925	0.107014	0.101462	0.0996841	0.12764	0.0891626	0.132208	0.0830281	0.0979117	0.158334	0.0730694	0.0776582	0.126928	0.104075	0.12754	0.126891	0.126847	0.124501	0.133851	0.0730831	0.0962582	0.0873139	0.181807	0.0354556	0.0240958	0.0400457	0.0455649	0.0414709	0.0345329	0.0177362	0.0206474	0.0254113	0.0629553	0.0364736	0.05227	0.0191419	0.0238465	0.0320344	0.0252441	0.0403216	0.0261521	0.0100914	0.0185094	3.215194
41	-15807.84	-15819.77	11.92703	0.126925	0.121745	0.123762	0.117058	0.12764	0.0891626	0.132208	0.0830281	0.0979117	0.158334	0.0730694	0.0776582	0.126928	0.096545	0.126669	0.126891	0.144283	0.121439	0.133851	0.0730831	0.0962582	0.0873139	0.181807	0.0405619	0.0284722	0.0287135	0.0455649	0.0400682	0.0345329	0.0118148	0.0215577	0.0154367	0.0767218	0.0364736	0.0373366	0.0191419	0.0329676	0.038273	0.0367407	0.0403216	0.0244698	0.0135567	0.0299087	3.296205
42	-15808.58	-15821.15	12.57162	0.126925	0.121745	0.0815966	0.117058	0.12764	0.0860348	0.132208	0.0830281	0.0920886	0.158334	0.0730694	0.0749595	0.126928	0.096545	0.126669	0.126891	0.144283	0.121439	0.133851	0.0730831	0.0839723	0.0800769	0.181807	0.0405619	0.0284722	0.0312253	0.0455649	0.0400682	0.0345329	0.0118148	0.0215577	0.0188592	0.0889449	0.0364736	0.0373366	0.0191419	0.0329676	0.0304768	0.0367407	0.0403216	0.0229874	0.0135567	0.0299087	3.231746
43	-15802.46	-15815.32	12.86267	0.115551	0.121745	0.0815966	0.117058	0.12764	0.0860348	0.132208	0.0830281	0.0920886	0.158334	0.0730694	0.0838287	0.103864	0.096545	0.126669	0.126891	0.130246	0.121439	0.133851	0.0730831	0.0839723	0.0800769	0.157706	0.0405619	0.0314422	0.0361401	0.0455649	0.05496	0.0405359	0.0118148	0.0306317	0.0246665	0.0889449	0.0364736	0.0373366	0.0191419	0.0329676	0.0304768	0.0367407	0.0254674	0.0229014	0.0102685	0.039079	3.202641
44	-15803.76	-15815.96	12.1992	0.115551	0.121745	0.113934	0.111068	0.12764	0.0860348	0.132208	0.0708356	0.0920886	0.158334	0.0730694	0.0976251	0.103864	0.096545	0.108687	0.126891	0.125032	0.121439	0.133851	0.0730831	0.108554	0.109215	0.157706	0.0405619	0.0314422	0.0252711	0.0455649	0.0564034	0.0405359	0.0118148	0.0306317	0.0246665	0.079992	0.0364736	0.0526654	0.0213919	0.0329676	0.0304768	0.0367407	0.0338022	0.0229014	0.0106046	0.039079	3.268988
45	-15806.33	-15818.63	12.30083	0.115551	0.121745	0.113934	0.111068	0.12764	0.0860348	0.132208	0.086933	0.0920886	0.164768	0.0730694	0.0721496	0.103864	0.096545	0.108687	0.126891	0.149347	0.121439	0.0996718	0.0730831	0.108554	0.109215	0.157706	0.0357224	0.0194349	0.0365129	0.0455649	0.0564034	0.0405359	0.0118148	0.0306317	0.021325	0.0798492	0.0364736	0.0481131	0.0213919	0.0371409	0.0304768	0.0367407	0.045828	0.0229878	0.0106046	0.039079	3.258824
46	-15800.93	-15813.74	12.81799	0.115551	0.121745	0.113934	0.111068	0.12764	0.0860348	0.132208	0.086933	0.0920886	0.164768	0.0730694	0.0721496	0.103864	0.096545	0.122801	0.126891	0.132918	0.121439	0.0996718	0.0719916	0.0738963	0.0780443	0.157706	0.0398483	0.0220008	0.0260548	0.0455649	0.0564034	0.0399644	0.0118148	0.0299439	0.021325	0.0798492	0.0364736	0.0481131	0.0213919	0.0371409	0.0338464	0.0367407	0.045828	0.0324902	0.0202775	0.039079	3.207108
