Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
37	-16982.57	-16990.15	7.587854	0.121008	0.193896	0.185574	0.0995885	0.1394	0.112829	0.159782	0.0777004	0.143114	0.157055	0.110042	0.132233	0.0974275	0.14327	0.116719	0.127874	0.136925	0.147354	0.171676	0.123341	0.0915027	0.127151	0.20919	0.0295358	0.0189616	0.0499292	0.012847	0.0484821	0.0176659	0.0124376	0.00591357	0.0290047	0.00943984	0.0175441	0.110258	0.0135936	0.0530486	0.0353556	0.0220328	0.0690943	0.0255973	0.0103822	0.0143454	3.730123
38	-16968.15	-16976.58	8.428598	0.121008	0.193896	0.185574	0.0995885	0.1394	0.112829	0.159782	0.0788118	0.149681	0.157055	0.110042	0.113286	0.0974275	0.14327	0.112707	0.127874	0.136925	0.0950949	0.171676	0.123341	0.0799783	0.127151	0.20919	0.0288202	0.0189616	0.0499292	0.012847	0.0484821	0.0176659	0.0105233	0.0128619	0.0440295	0.0125366	0.014932	0.110258	0.0136098	0.0432312	0.0353556	0.0220328	0.0552243	0.0255973	0.0101859	0.0133747	3.646048
39	-16956.03	-16963.82	7.790702	0.121008	0.211089	0.185574	0.0995885	0.1394	0.0875392	0.127554	0.0788118	0.149681	0.152397	0.11544	0.113286	0.0974275	0.14327	0.112707	0.127874	0.136925	0.152153	0.171676	0.123341	0.112655	0.129593	0.18451	0.0246433	0.0189616	0.0499292	0.0204646	0.0484821	0.0184967	0.00653544	0.0128619	0.0440295	0.0144901	0.014932	0.146221	0.0136098	0.0375449	0.0353556	0.0220328	0.0552243	0.0255973	0.0100491	0.0168754	3.709838
40	-16923.49	-16932.17	8.682245	0.121008	0.201237	0.187338	0.0995885	0.1394	0.0875392	0.127554	0.0677296	0.141675	0.152397	0.11544	0.0971665	0.0974275	0.133448	0.112707	0.127874	0.151201	0.152153	0.171676	0.0938411	0.0849007	0.129593	0.18451	0.0246433	0.0189616	0.0516925	0.0204646	0.0366562	0.0135833	0.00428623	0.0128619	0.0440295	0.0217296	0.0158783	0.146221	0.0145867	0.0539894	0.0353556	0.0220328	0.0552243	0.0183254	0.0100491	0.0227078	3.620683
41	-16898.95	-16908.3	9.35867	0.121008	0.201237	0.187338	0.0995885	0.1394	0.0914851	0.127554	0.109595	0.141675	0.152397	0.11544	0.0971665	0.0974275	0.133448	0.112707	0.127874	0.151201	0.131446	0.171676	0.0938411	0.0849007	0.11711	0.153725	0.0332865	0.0149255	0.0474432	0.0199963	0.0366562	0.0135833	0.0044652	0.0128619	0.0361469	0.0313791	0.0234967	0.124831	0.0109037	0.0391395	0.0367247	0.0234667	0.0342238	0.0183254	0.0106296	0.021316	3.553041
42	-16898.84	-16908.15	9.316743	0.119281	0.201237	0.190192	0.0995885	0.1394	0.0914851	0.127554	0.0785307	0.151007	0.12813	0.11544	0.0971665	0.0974275	0.133448	0.112707	0.127874	0.151201	0.131446	0.171676	0.134591	0.0805025	0.116311	0.187166	0.0263625	0.0136305	0.0458343	0.0199963	0.0392224	0.0160798	0.0044652	0.0128619	0.0361469	0.0313791	0.018145	0.124831	0.0109037	0.0391395	0.0323501	0.016622	0.0267035	0.0183254	0.0195585	0.021316	3.557234
43	-16871.94	-16881.83	9.886981	0.119281	0.197262	0.190192	0.0995885	0.1394	0.0914851	0.127554	0.0785307	0.125422	0.12813	0.11544	0.100067	0.0974275	0.153984	0.112707	0.127874	0.151201	0.131446	0.153106	0.0885897	0.078475	0.116311	0.187166	0.0269616	0.0136305	0.0458343	0.0199963	0.0392224	0.0152163	0.00442397	0.0128619	0.0361469	0.0313791	0.018145	0.124831	0.0109037	0.0469123	0.0380486	0.016622	0.0267035	0.0183254	0.0145424	0.028864	3.50021
44	-16873.3	-16882.74	9.436257	0.119281	0.197262	0.190192	0.0995885	0.153825	0.0914851	0.124046	0.0785307	0.125422	0.12813	0.11544	0.133816	0.0974275	0.153984	0.112707	0.127874	0.118163	0.131446	0.165263	0.0885897	0.0762784	0.126391	0.168029	0.0414564	0.0136305	0.0312857	0.0199963	0.0572849	0.0152163	0.00442397	0.0128619	0.0380067	0.0313791	0.0342231	0.115774	0.0109037	0.0475943	0.0380486	0.016622	0.0267035	0.0183254	0.0195113	0.028864	3.545282
45	-16857.01	-16865.88	8.872765	0.119281	0.197262	0.190192	0.121046	0.153825	0.0988622	0.123996	0.0785307	0.125422	0.160642	0.11544	0.0943469	0.0974275	0.153984	0.112707	0.127874	0.132115	0.107148	0.165263	0.0885897	0.0918695	0.126391	0.168029	0.0294083	0.0136305	0.0312857	0.0199963	0.0581162	0.0152163	0.00524308	0.0203507	0.0501963	0.0414957	0.0342231	0.115774	0.0109037	0.0475943	0.0380486	0.016622	0.0267035	0.016616	0.0311004	0.028864	3.601631
46	-16852.05	-16862.25	10.20471	0.119281	0.197262	0.190192	0.107276	0.10014	0.0901782	0.123996	0.0785307	0.125422	0.160642	0.0899077	0.0943469	0.0974275	0.153984	0.112707	0.127874	0.132115	0.107148	0.165263	0.0923324	0.0918695	0.122615	0.168029	0.035267	0.00897332	0.0312857	0.0199963	0.0581162	0.0152163	0.0053092	0.0203507	0.0398643	0.0414957	0.0276458	0.115774	0.0109037	0.0291937	0.0380486	0.016622	0.0267035	0.0191668	0.0311004	0.028864	3.468437
